StatisticCrimeGroup,StatisticCrimeType,Crime,Excluded
סעיפי הגדרה,סעיפי הגדרה,סיוע,
סעיפי הגדרה,סעיפי הגדרה,סיוע (לעבירה שנקבע לה עונש חובה),
סעיפי הגדרה,סעיפי הגדרה,סיוע (לעבירה שנקבע לה עונש מזערי),
סעיפי הגדרה,סעיפי הגדרה,סיוע (לעבירה שעונשה מאסר עולם),
סעיפי הגדרה,סעיפי הגדרה,סיוע (עונש מיתה/ מאסר עולם חובה),
סעיפי הגדרה,סעיפי הגדרה,סיוע לאחר מעשה,
סעיפי הגדרה,סעיפי הגדרה,סיוע לאחר מעשה,
סעיפי הגדרה,סעיפי הגדרה,קשר ונסיון,
סעיפי הגדרה,סעיפי הגדרה,קשר ונסיון,
סעיפי הגדרה,סעיפי הגדרה,שידול,
סעיפי הגדרה,סעיפי הגדרה,תקנות ההגנה - ניסיון לעוון,
סעיפי הגדרה,סעיפי הגדרה,תקנות ההגנה - ניסיון לפשע,
עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",אי הודעה בדבר סחר/עיסוק בציוד מלחמת,
עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",הפקדת כלי יריה,
עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",נשיאה/החזקה/ייצור נשק,
עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",נשיאה/החזקה/ייצור נשק בצוותא,
עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",סחר בציוד מלחמתי,
עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",סחר/עיסוק בציוד מלחמתי ללא היתר,
עבירות בטחון,בגידה ורגול,איסוף ידיעות למטרות ריגול,1
עבירות בטחון,בגידה ורגול,איסוף ידיעות סודיות והחזקתם,1
עבירות בטחון,בגידה ורגול,איסוף סודות במטרה לפגוע במדינה,1
עבירות בטחון,בגידה ורגול,גלוי החלטה לבגוד,1
עבירות בטחון,בגידה ורגול,החזקת ידיעה בכוונה לפגוע בבטחון האז,
עבירות בטחון,בגידה ורגול,החזקת ידיעה סודית,
עבירות בטחון,בגידה ורגול,החזקת ידיעות בעלות ערך צבאי,
עבירות בטחון,בגידה ורגול,השגת והחזקת ידיעות ע'מ לפגוע במדינה,
עבירות בטחון,בגידה ורגול,השגת ידיעות צבאיות,
עבירות בטחון,בגידה ורגול,השגת מידע ביטחוני 54א(2) לצו 378 מהוראות הביטחון 1,
עבירות בטחון,בגידה ורגול,כוונה לפגוע בריבונות המדינה,
עבירות בטחון,בגידה ורגול,כוונה לפגוע בשלמות המדינה,
עבירות בטחון,בגידה ורגול,מגע עם סוכן אויב,
עבירות בטחון,בגידה ורגול,מגע עם סוכן זר,
עבירות בטחון,בגידה ורגול,מגע עם סוכן חוץ,1
עבירות בטחון,בגידה ורגול,מסירת ידיעה בכוונה לפגוע בבטחון האז,
עבירות בטחון,בגידה ורגול,מסירת ידיעה בכוונה לפגוע במדינה,
עבירות בטחון,בגידה ורגול,מסירת ידיעה לאויב,1
עבירות בטחון,בגידה ורגול,מסירת ידיעה לאויב,1
עבירות בטחון,בגידה ורגול,מסירת ידיעה לאויב ברשלנות,1
עבירות בטחון,בגידה ורגול,מסירת ידיעה לאויב ע'מ לפגוע במדינה,
עבירות בטחון,בגידה ורגול,מסירת ידיעה למטרות ריגול,1
עבירות בטחון,בגידה ורגול,מסירת ידיעה סודית,1
עבירות בטחון,בגידה ורגול,מסירת ידיעה סודית,1
עבירות בטחון,בגידה ורגול,מסירת ידיעה סודית כדי לפגוע במדינה,1
עבירות בטחון,בגידה ורגול,מסירת ידיעה סודית לפגיעה בבטחון האז,
עבירות בטחון,בגידה ורגול,מסירת ידיעה ע'מ לפגוע במדינה,1
עבירות בטחון,בגידה ורגול,מסירת מקום לאויב או נטישתו,
עבירות בטחון,בגידה ורגול,נטישת מקום באופן מחפיר,
עבירות בטחון,בגידה ורגול,נסיון ליצור מגע עם סוכן,1
עבירות בטחון,בגידה ורגול,נסיון ליצור מגע עם סוכן זר,
עבירות בטחון,בגידה ורגול,סיוע לאויב ביודעין,
עבירות בטחון,בגידה ורגול,סיוע לאויב במלחמה,1
עבירות בטחון,בגידה ורגול,סיוע לאויב במלחמה,1
עבירות בטחון,בגידה ורגול,סיוע לאויב בתקופת שבי,
עבירות בטחון,בגידה ורגול,עזרה לאויב ביודעין,
עבירות בטחון,בגידה ורגול,עזרה לאויב בכוונה,
עבירות בטחון,בגידה ורגול,פגיעה בריבונות המדינה,
עבירות בטחון,בגידה ורגול,פגיעה בריבונות המדינה או בשלימותה,1
עבירות בטחון,בגידה ורגול,פגיעה בריבונות המדינה או בשלימותה,1
עבירות בטחון,בגידה ורגול,פגיעה בשלמות המדינה,
עבירות בטחון,בגידה ורגול,רשום ידיעות בעלות ערך צבאי,
עבירות בטחון,בגידה ורגול,שרות בכוחות האויב,1
עבירות בטחון,בגידה ורגול,תעמולה תבוסנית,1
עבירות בטחון,הנפת דגל פלסטין,הנפת דגל פלשתין  5 מצו 101 הוראות בטחון 1970,
עבירות בטחון,הסתה,איסור החזקת/הנפת דגלים ללא היתר,
עבירות בטחון,הסתה,איסור קיום תהלוכות/אסיפות ללא רשיון,
עבירות בטחון,הסתה,גילוי הזדהות עם ארגון טרוריסטי,
עבירות בטחון,הסתה,החזקת חומר תעמולה לטובת אירגון טרור,
עבירות בטחון,הסתה,החזקת פרסום המסית לאלימות או לטרור,1
עבירות בטחון,הסתה,הסתה,
עבירות בטחון,הסתה,הסתה - מצו 101 בדבר איסור פעולות הסתה ותעמולה עוינ,
עבירות בטחון,הסתה,הסתה לאלימות ולטרור,1
עבירות בטחון,הסתה,השתתפות או ארגון תהלוכה ללא רישיון,
עבירות בטחון,הסתה,נתינת כסף לטובת אירגון טרור,
עבירות בטחון,הסתה,פרסום דברי תמיכה באירגון טרוריסטי,
עבירות בטחון,הסתה,"פרסום קריאה לעשיית מעשה אלימות, שבח, אהדה או עידוד",
עבירות בטחון,הסתה,"פרסום קריאה לעשיית מעשה אלימות,שבח,אהדה, עידוד למע",1
עבירות בטחון,הסתה,תמיכה בארגון עויין,
עבירות בטחון,הסתננות,הוצאת רכוש מישראל עבור מסתנן,
עבירות בטחון,הסתננות,הסתננות,
עבירות בטחון,הסתננות,הסתננות,
עבירות בטחון,הסתננות,הסתננות וביצוע עבירות מסויימות,
עבירות בטחון,הסתננות,הסתננות לאחר גרוש,
עבירות בטחון,הסתננות,הסתננות מזויינת,
עבירות בטחון,הסתננות,יציאה שלא כדין לארצות ערב,
עבירות בטחון,הסתננות,מסתנן המוציא רכוש מישראל,
עבירות בטחון,הסתננות,מתן מחסה למסתנן,
עבירות בטחון,הסתננות,סחר עם מסתנן,
עבירות בטחון,הקמת מחסום - בטחון,הקמת מחסום  68 מצו 378 בדבר הוראות הבטחון 1970,
עבירות בטחון,השלכת בקבוק תבערה - בטחון,השלכת בקבוק תבערה  53 א. לצו 378 בדבר הוראות הבטחו,
עבירות בטחון,השלכת בקבוק תבערה - בטחון,זריקת או הנחת חומרי חבלה בכוונה לגרום מוות או חבלה,
עבירות בטחון,ידוי אבנים,הפרעה לשוטר בנסיבות מחמירות,
עבירות בטחון,ידוי אבנים,זריקת חפץ בנתיב תחבורה,
עבירות בטחון,ידוי אבנים,זריקת חפץ לעבר אדם/רכוש,
עבירות בטחון,ידוי אבנים,זריקת חפץ לעבר כלי תחבורה נוסע,
עבירות בטחון,ידוי אבנים,ידוי אבנים 66 מצו הוראות הבטחון,
עבירות בטחון,ידוי אבנים,יידוי אבן/חפץ לעבר רכב במטרה לפגוע,
עבירות בטחון,ידוי אבנים,יידוי/ירי אבן/חפץ לעבר רכב נוסע,
עבירות בטחון,ידוי אבנים,סיכון אדם בנתיב תחבורה - לאומני,
עבירות בטחון,ידוי אבנים,סיכון אדם בנתיב תחבורה בירי/זריקה,
עבירות בטחון,מסירת סודות רשמיים,גילוי ידיעות,
עבירות בטחון,מסירת סודות רשמיים,גילוי מידע חסוי ללא היתר,
עבירות בטחון,מסירת סודות רשמיים,החזקת ידיעה ללא סמכות כדין,1
עבירות בטחון,מסירת סודות רשמיים,התרשלות בשמירת מסמך,
עבירות בטחון,מסירת סודות רשמיים,מכירת מסמכים או מדים,
עבירות בטחון,מסירת סודות רשמיים,מכירת מסמכים או מדים רשמיים,1
עבירות בטחון,מסירת סודות רשמיים,מסירת ידיעה ע'י בעל חוזה,1
עבירות בטחון,מסירת סודות רשמיים,מסירת ידיעה רשמית ע'י עובד ציבור,1
עבירות בטחון,מסירת סודות רשמיים,מסירת ידיעות בעלות ערך צבאי,
עבירות בטחון,מסירת סודות רשמיים,מסירת ידיעות רשמיות ע'י עובד ציבור,
עבירות בטחון,מסירת סודות רשמיים,מסירת מסמך בהפרת אמון,1
עבירות בטחון,מסירת סודות רשמיים,מסירת מסמך לשאינו מוסמך לקבלו,
עבירות בטחון,מסירת סודות רשמיים,רשלנות בשמירת ידיעות רשמיות,1
עבירות בטחון,מסירת סודות רשמיים,רשלנות בשמירת מסמך,1
עבירות בטחון,מרד והסתה למרד,החזקת פרסום גזעני,1
עבירות בטחון,מרד והסתה למרד,החזקת פרסומי מרד,1
עבירות בטחון,מרד והסתה למרד,הסתה לאי ציות,1
עבירות בטחון,מרד והסתה למרד,הסתה לאי ציות בכוונה לפגוע במדינה,1
עבירות בטחון,מרד והסתה למרד,הסתה למרד ע'י פרסומים,1
עבירות בטחון,מרד והסתה למרד,הסתה למרי,
עבירות בטחון,מרד והסתה למרד,ייבוא פרסומי הסתה למרד,1
עבירות בטחון,מרד והסתה למרד,מעשה המרדה,1
עבירות בטחון,מרד והסתה למרד,מרידה בזמן לחימה או תוך כדי שימוש בנשק או איום בו,
עבירות בטחון,מרד והסתה למרד,מרידה בכוונה לפגוע במדינה,1
עבירות בטחון,מרד והסתה למרד,עבירות ממניע גזענות או עויינות כלפי ציבור,1
עבירות בטחון,מרד והסתה למרד,עבירות ממניע גזענות או עויינות כלפי ציבור,1
עבירות בטחון,מרד והסתה למרד,פרסום הסתה לגזענות,1
עבירות בטחון,עבירות אחרות כלפי בטחון,"'סחר, ייצור ויבוא סכין'",
עבירות בטחון,עבירות אחרות כלפי בטחון,אדם הסוחר עם האוייב,
עבירות בטחון,עבירות אחרות כלפי בטחון,אחזקת ציוד צבאי,
עבירות בטחון,עבירות אחרות כלפי בטחון,אי-הפקדת כלי נשק שהיתרו פקע,
עבירות בטחון,עבירות אחרות כלפי בטחון,אי הושטת עזרה לאחר תאונה,
עבירות בטחון,עבירות אחרות כלפי בטחון,אי הצגת רשיון חרף דרישת שוטר,
עבירות בטחון,עבירות אחרות כלפי בטחון,אי התיצבות,
עבירות בטחון,עבירות אחרות כלפי בטחון,אי מניעת בצוע עבירה,
עבירות בטחון,עבירות אחרות כלפי בטחון,אי מניעת מעשה טרור,1
עבירות בטחון,עבירות אחרות כלפי בטחון,אי מניעת עבירה,
עבירות בטחון,עבירות אחרות כלפי בטחון,אי מניעת עבירה,
עבירות בטחון,עבירות אחרות כלפי בטחון,אי מניעת עבירה,
עבירות בטחון,עבירות אחרות כלפי בטחון,אי מניעת עבירה,
עבירות בטחון,עבירות אחרות כלפי בטחון,אי מניעת עבירה- אי מסירת הודעה,
עבירות בטחון,עבירות אחרות כלפי בטחון,אי מניעת עבירה מסוג פשע,
עבירות בטחון,עבירות אחרות כלפי בטחון,אי מניעת פשע,
עבירות בטחון,עבירות אחרות כלפי בטחון,אי עצירה ואי מסירת פרטים,
עבירות בטחון,עבירות אחרות כלפי בטחון,אי ציות להוראת התייצבות,
עבירות בטחון,עבירות אחרות כלפי בטחון,אי ציות לצו זימון מיוחד,
עבירות בטחון,עבירות אחרות כלפי בטחון,אי קיום פקודה,
עבירות בטחון,עבירות אחרות כלפי בטחון,איום בביצוע מעשה טרור,1
עבירות בטחון,עבירות אחרות כלפי בטחון,איום והעלבה,
עבירות בטחון,עבירות אחרות כלפי בטחון,איום על אחר,
עבירות בטחון,עבירות אחרות כלפי בטחון,איומים,
עבירות בטחון,עבירות אחרות כלפי בטחון,איומים,
עבירות בטחון,עבירות אחרות כלפי בטחון,איומים,
עבירות בטחון,עבירות אחרות כלפי בטחון,איומים במטרה לביצוע/ הימנעות ממעשה,
עבירות בטחון,עבירות אחרות כלפי בטחון,איומים המסכנים את שלום הציבור,
עבירות בטחון,עבירות אחרות כלפי בטחון,אימון נשק/חבלה ע'י תושב האזור,
עבירות בטחון,עבירות אחרות כלפי בטחון,אימון צבאי בלא היתר,
עבירות בטחון,עבירות אחרות כלפי בטחון,אינוס אדם שאין ביכולתו להתנגד,
עבירות בטחון,עבירות אחרות כלפי בטחון,אינוס בכח או באיום,
עבירות בטחון,עבירות אחרות כלפי בטחון,אינוס קטין בן 15 ומטה,
עבירות בטחון,עבירות אחרות כלפי בטחון,איסור הוצאת מסמכי זיהוי,
עבירות בטחון,עבירות אחרות כלפי בטחון,איסור מגע עם אויב,
עבירות בטחון,עבירות אחרות כלפי בטחון,איסור מגע עם אוייב,
עבירות בטחון,עבירות אחרות כלפי בטחון,איסור מסחר בכלי יריה,
עבירות בטחון,עבירות אחרות כלפי בטחון,איסור מסחר בכלי יריה,
עבירות בטחון,עבירות אחרות כלפי בטחון,איסור פעולה ברכוש טרור,
עבירות בטחון,עבירות אחרות כלפי בטחון,איסור פעולה ברכוש למטרות טרור,
עבירות בטחון,עבירות אחרות כלפי בטחון,איסור פעולה/העברה של רכוש טרור,1
עבירות בטחון,עבירות אחרות כלפי בטחון,איסור/פעולה/סיוע ברכוש למטרות טרור,1
עבירות בטחון,עבירות אחרות כלפי בטחון,אמון צבאי בלתי חוקי,
עבירות בטחון,עבירות אחרות כלפי בטחון,אמונים צבאיים בלתי חוקיים,
עבירות בטחון,עבירות אחרות כלפי בטחון,בדיית עבירות או ראיות,
עבירות בטחון,עבירות אחרות כלפי בטחון,ביקור במקום המיועד לשימוש בסמים,
עבירות בטחון,עבירות אחרות כלפי בטחון,בעילת קטין בן פחות מ12,
עבירות בטחון,עבירות אחרות כלפי בטחון,בריחה ממשמורת,
עבירות בטחון,עבירות אחרות כלפי בטחון,בריחה ממשמורת,
עבירות בטחון,עבירות אחרות כלפי בטחון,בריחה ממשמורת חוקית,
עבירות בטחון,עבירות אחרות כלפי בטחון,גיוס חברים לארגון טרור,1
עבירות בטחון,עבירות אחרות כלפי בטחון,גיוס ישראלי לכח מזוין של המועצה,
עבירות בטחון,עבירות אחרות כלפי בטחון,גיוס תושב בישראל לכוחות חוץ,1
עבירות בטחון,עבירות אחרות כלפי בטחון,גיוס תושב בישראל לכח זר,
עבירות בטחון,עבירות אחרות כלפי בטחון,גילוי הזדהות עם ארגון טרור בפומבי,1
עבירות בטחון,עבירות אחרות כלפי בטחון,גרימת מוות תוך שימוש ברכב,
עבירות בטחון,עבירות אחרות כלפי בטחון,גרימת מות או בצוע חבלה במתקן צה'ל,
עבירות בטחון,עבירות אחרות כלפי בטחון,גרימת נזק ברשלנות לרכוש בטחוני,
עבירות בטחון,עבירות אחרות כלפי בטחון,גרימת נזק לרכוש,
עבירות בטחון,עבירות אחרות כלפי בטחון,גרימת נזק לרכוש במלחמה תוך רשלנות,
עבירות בטחון,עבירות אחרות כלפי בטחון,גרימת נזק לרכוש תוך רשלנות,
עבירות בטחון,עבירות אחרות כלפי בטחון,דרך נהיגה פסולה או סירוב מסירת שם,
עבירות בטחון,עבירות אחרות כלפי בטחון,"הגדרות- סכין, אולר",
עבירות בטחון,עבירות אחרות כלפי בטחון,הגשת תלונת שווא על ביצוע עוון,
עבירות בטחון,עבירות אחרות כלפי בטחון,הגשת תלונת שווא על ביצוע פשע,
עבירות בטחון,עבירות אחרות כלפי בטחון,הודעה על אימוני נשק/חבלה,
עבירות בטחון,עבירות אחרות כלפי בטחון,הוצאת ציוד צבאי שלא כדין,
עבירות בטחון,עבירות אחרות כלפי בטחון,הזדהות עם ארגון טרור והסתה לטרור,1
עבירות בטחון,עבירות אחרות כלפי בטחון,הזדהות עם ארגון טרור והסתה לטרור בנסיבות של מעשה ט,1
עבירות בטחון,עבירות אחרות כלפי בטחון,החזקה ועיסוק בכלי יריה שלא כחוק,
עבירות בטחון,עבירות אחרות כלפי בטחון,החזקה לשם הפצת פרסום לפי סעיף (א),1
עבירות בטחון,עבירות אחרות כלפי בטחון,החזקת כלי או חפץ המסוגל לגרום מוות,
עבירות בטחון,עבירות אחרות כלפי בטחון,החזקת כלי יריה  52 (א) מצו 378 מהוראות הבטחון 1970,
עבירות בטחון,עבירות אחרות כלפי בטחון,החזקת מסמך כוזב,
עבירות בטחון,עבירות אחרות כלפי בטחון,החזקת נשק חם או חנ'מ ללא היתר,
עבירות בטחון,עבירות אחרות כלפי בטחון,החזקת נשק חם שלא בתנאי ההיתר,
עבירות בטחון,עבירות אחרות כלפי בטחון,החזקת נשק ללא רשיון,
עבירות בטחון,עבירות אחרות כלפי בטחון,"החזקת נשק,תחמושת או חמרי חבלה",
עבירות בטחון,עבירות אחרות כלפי בטחון,החזקת סכין שלא כדין,
עבירות בטחון,עבירות אחרות כלפי בטחון,החזקת סכין שלא למטרה כשרה,
עבירות בטחון,עבירות אחרות כלפי בטחון,החמרת עונש-מעשה טרור-מאסר עולם שאינו חובה,1
עבירות בטחון,עבירות אחרות כלפי בטחון,החמרת ענישה-עבירה שהיא מעשה טרור,1
עבירות בטחון,עבירות אחרות כלפי בטחון,החמרת ענישה-עבירה שהיא מעשה טרור,1
עבירות בטחון,עבירות אחרות כלפי בטחון,היזק לרכוש במזיד,
עבירות בטחון,עבירות אחרות כלפי בטחון,היזק לרכוש עובד ציבור במזיד,
עבירות בטחון,עבירות אחרות כלפי בטחון,הכנה לביצוע מעשה טרור,1
עבירות בטחון,עבירות אחרות כלפי בטחון,הכנה למעשה טרור שדינו מ.עולם חובה,1
עבירות בטחון,עבירות אחרות כלפי בטחון,הכנסת בעל חיים לשטח סגור,
עבירות בטחון,עבירות אחרות כלפי בטחון,הכנת חומר נפץ לביצוע עבירה,
עבירות בטחון,עבירות אחרות כלפי בטחון,הכנת עבירה בחומרים מסוכנים,
עבירות בטחון,עבירות אחרות כלפי בטחון,הכשלה או הפרעה לחייל צה'ל,
עבירות בטחון,עבירות אחרות כלפי בטחון,הכשלת תפיסת רכוש,1
עבירות בטחון,עבירות אחרות כלפי בטחון,המאיים לבצע עבירה המנויה בתוספת הראשונה,
עבירות בטחון,עבירות אחרות כלפי בטחון,המציע או מבטיח שוחד,
עבירות בטחון,עבירות אחרות כלפי בטחון,המציע למכור תוצרת או מצרכים מזוייפים או מקולקלים,
עבירות בטחון,עבירות אחרות כלפי בטחון,המתאמן אימון צבאי בנגוד לחוק,
עבירות בטחון,עבירות אחרות כלפי בטחון,הסתה ותמיכה בארגון עוין,
עבירות בטחון,עבירות אחרות כלפי בטחון,הסתה ותמיכה בארגון עוין,
עבירות בטחון,עבירות אחרות כלפי בטחון,הסתה ותמיכה בארגון עוין,
עבירות בטחון,עבירות אחרות כלפי בטחון,הסתה ותמיכה בארגון עוין,
עבירות בטחון,עבירות אחרות כלפי בטחון,הסתה להשתמטות,
עבירות בטחון,עבירות אחרות כלפי בטחון,הסתה להשתמטות מצבא או מפעולה,1
עבירות בטחון,עבירות אחרות כלפי בטחון,הסתה לעריקה,1
עבירות בטחון,עבירות אחרות כלפי בטחון,הסתה נגד מדינה ידידותית,
עבירות בטחון,עבירות אחרות כלפי בטחון,הסתרת מידע בידי עובד ציבור,1
עבירות בטחון,עבירות אחרות כלפי בטחון,העלבת חייל או פגיעה בכבודו,
עבירות בטחון,עבירות אחרות כלפי בטחון,העלבת רשות צה'ל או סמליה,
עבירות בטחון,עבירות אחרות כלפי בטחון,העמדת חפץ לרשות אירגון טרור,
עבירות בטחון,עבירות אחרות כלפי בטחון,הפצת ידיעה ברבים,
עבירות בטחון,עבירות אחרות כלפי בטחון,הפקרה לאחר תאונה,
עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת הוראה בדבר סגירת שטח,
עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת הוראת תמרור או אות שוטר במדים,
עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת הכרזת סגירת שטח או הפרעה לרשות,
עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת הכרזת שטח סגור - איסור יציאה,
עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת הכרזת שטח סגור - איסור כניסה,
עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת הכרזת שטח סגור - כניסה ויציאה,
עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת הכרזת שטח סגור - כניסה ושהייה,
עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת הכרזת שטח סגור - תנאי היתר,
עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת חובות דיווח,1
עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת חובת התייצבות,
עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת סדר ומשמעת בזמן מעצר מנהלי,
עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת צו - פתיחת/סגירת מקומות,
עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת צו בעניין הסרת מחסומים/מכשולים,
עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת צו בעניין שימוש ברכב,
עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת צו בעניין תנועת בני אדם,
עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת צו מפקד צבאי - עוצר,
עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת צו פקוח מיוחד,
עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת צו פתיחת מקומות וסגירתם,
עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת צו תנועה ותעבורה,
עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת צוי הגבלה,
עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת תנאי רישיון שניתן כדין,
עבירות בטחון,עבירות אחרות כלפי בטחון,הפרת תנאי רשיון לכלי יריה,
עבירות בטחון,עבירות אחרות כלפי בטחון,הצתה לשם פגיעה בבנין או חלקו,
עבירות בטחון,עבירות אחרות כלפי בטחון,הצתה לשם פגיעה בכלי תחבורה,
עבירות בטחון,עבירות אחרות כלפי בטחון,הצתה לשם פגיעה במצוי בבנין,
עבירות בטחון,עבירות אחרות כלפי בטחון,הצתה לשם פגיעה בצומח,
עבירות בטחון,עבירות אחרות כלפי בטחון,השאלת מסמך שהוצא כדין,
עבירות בטחון,עבירות אחרות כלפי בטחון,השחתת מסמכים רשמיים,
עבירות בטחון,עבירות אחרות כלפי בטחון,השחתת מסמכים שמורים,
עבירות בטחון,עבירות אחרות כלפי בטחון,השחתת שילוט,
עבירות בטחון,עבירות אחרות כלפי בטחון,השתייכות לאירגון טרוריסטי,
עבירות בטחון,עבירות אחרות כלפי בטחון,השתמטות מפעולה קרבית,
עבירות בטחון,עבירות אחרות כלפי בטחון,השתמטות משירות בטענות שוא,
עבירות בטחון,עבירות אחרות כלפי בטחון,התגיסות ישראלי לשרת בכח של המועצה,
עבירות בטחון,עבירות אחרות כלפי בטחון,התחזות-  כעובד ציבור,
עבירות בטחון,עבירות אחרות כלפי בטחון,התחזות בזהות בדויה בפני רשות,
עבירות בטחון,עבירות אחרות כלפי בטחון,התחזות המסכנת את שלום הציבור,
עבירות בטחון,עבירות אחרות כלפי בטחון,התחזות כאחר בחקירה או בבית משפט,
עבירות בטחון,עבירות אחרות כלפי בטחון,התחזות לעובד צבור,
עבירות בטחון,עבירות אחרות כלפי בטחון,התחפשות- לפגוע בשלום הציבור,
עבירות בטחון,עבירות אחרות כלפי בטחון,זיוף/מרמה סימן לזיהוי רכב או רשיון,
עבירות בטחון,עבירות אחרות כלפי בטחון,זריעת בהלה או יאוש,
עבירות בטחון,עבירות אחרות כלפי בטחון,חבירה לקבוצה שביצעו עבירה,
עבירות בטחון,עבירות אחרות כלפי בטחון,חבלה במתקן צה'ל,
עבירות בטחון,עבירות אחרות כלפי בטחון,חבלה במתקן צה'ל 51ב לצו 378 מהוראות הביטחון 1970,
עבירות בטחון,עבירות אחרות כלפי בטחון,חבלה ברכוש מדינת ישראל או צה'ל,
עבירות בטחון,עבירות אחרות כלפי בטחון,חבר בארגון טרור,1
עבירות בטחון,עבירות אחרות כלפי בטחון,חבר בארגון טרור הנוטל חלק בפעילות,1
