"disease_type","Jerusalem","Zefat","Kinneret","Afula","Akko","Nazareth","Haifa","Hadera","Ha'Sharon","Petach Tiqwa","Ramla","Rehovot","Tel Aviv","Beer Sheva","Ashqelon","disease_type_heb","week_num","year"
"Tuberculosis - extrapulmonary",0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,"שחפת מחוץ לריאות","1","2015"
"Shigellosis",15,0,0,0,3,0,24,0,11,9,0,0,35,1,14,"שיגלוזיס","1","2015"
"Poliomyelitis caused by wild-type poliovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"שיתוק ילדים הנגרם ע""י זן פרא של נגיף הפוליו","1","2015"
"Poliomyelitis caused by vaccine derived poliovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"שיתוק ילדים הנגרם ע""י נגיף שמקורו בתרכיב חיסון","1","2015"
"Acute flaccid paralysis (through 15)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"שיתוק רפה חד (עד גיל 15 ועד בכלל)","1","2015"
"Pertussis",8,0,0,0,0,0,3,1,4,17,1,0,5,0,1,"שעלת","1","2015"
"Influenza caused by a new subtype",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"שפעת הנגרמת ע""י זן חדש","1","2015"
"Pandemic influenza",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"שפעת פנדמית","1","2015"
"Avian influenza",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"שפעת העופות","1","2015"
"Toxic shock syndrome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"תסמונת ההלם הטוקסי","1","2015"
"Severe Acute Respiratory Syndrome (SARS)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"תסמונת נשימתית חמורה חדה","1","2015"
"Food/Water borne infections",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"הרעלת מזון/מים","1","2015"
"Hospital (nosocomial) infections",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"זיהומים בבית חולים","1","2015"
"Varicella - Chickenpox",4,2,0,3,3,0,0,0,1,26,2,10,18,0,0,"אבעבועות רוח","10","2015"
"Smallpox",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"אבעבועות שחורות","10","2015"
"Rubella",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"אדמת","10","2015"
"Congenital rubella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"אדמת מלידה","10","2015"
"E. coli O157:H7 infection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"זיהום ע""י א. קולי O157:H7","10","2015"
"HIV carrier/ AIDS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"נשא HIV/ איידס","10","2015"
"Echinococcosis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"אכינוקוקוזיס","10","2015"
"Diphtheria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"אסכרה","10","2015"
"Botulism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"בוטוליזם","10","2015"
"Brucellosis",1,0,0,0,0,0,0,2,0,0,0,0,0,7,0,"ברוצלוזיס","10","2015"
"Giardiasis",6,0,0,0,1,0,0,0,1,1,0,5,6,0,0,"ג'יארדיאזיס","10","2015"
"Anthrax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"גחלת","10","2015"
"Pneumonic Plague",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דבר נשימתי","10","2015"
"Plague- non pneumonic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דבר שאינו נשימתי","10","2015"
"Acute Hepatitis A",2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"דלקת כבד נגיפית A","10","2015"
"Acute Hepatitis B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת כבד נגיפית B","10","2015"
"Acute Hepatitis C",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"דלקת כבד נגיפית C","10","2015"
"Acute viral hepatitis - other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת כבד נגיפית אחרת","10","2015"
"Encephalitis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת מח חדה","10","2015"
"Meningitis - meningococcal",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"דלקת עוצבה חדה מנינגוקוקית","10","2015"
"Meningitis - Haemophilus influenzae b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת עוצבה חדה ע""י Hib","10","2015"
"Meningitis - pneumococcal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת עוצבה חדה פנוימוקוקית","10","2015"
"Acute viral meningitis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת עוצבה נגיפית","10","2015"
"Meningitis - unknown agent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת עוצבה - מחולל לא ידוע","10","2015"
"Meningitis - other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת עוצבה חדה אחרת","10","2015"
"Gonorrhea",1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,"זיבה","10","2015"
"H. influenzae b invasive infection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"זיהום פולשני ע""י Hib","10","2015"
"Meningococcal invasive infection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"זיהום פולשני ע""י מנינגוקוק","10","2015"
"Pneumococcal invasive infection",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"זיהום פולשני ע""י פנוימוקוק","10","2015"
"Mumps",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"חזרת","10","2015"
"Measles",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"חצבת","10","2015"
"Tularemia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"טולרמיה","10","2015"
"Typhoid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"טיפואיד","10","2015"
"Murine typhus",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"טיפוס מוריני","10","2015"
"Cholera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"כולירה","10","2015"
"Non cholera vibrio infection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ויבריו שאינו כולירה","10","2015"
"Rabies",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"כלבת","10","2015"
"Chlamydia trachomatis of the genital tract",0,0,0,0,4,0,1,1,0,1,0,2,12,0,0,"כלמידיה טרכומטיס בדרכי המין","10","2015"
"Lymphogranuloma venereum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"לימפוגרנולומה ונראום","10","2015"
"Listeriosis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ליסטריוזיס","10","2015"
"Visceral leishmaniasis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"לישמניאזיס - קלה אזר","10","2015"
"Cutaneous leishmaniasis",0,1,0,0,2,0,0,0,0,0,2,1,0,1,0,"לישמניאזיס של העור","10","2015"
"Leptospirosis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"לפטוספירוזיס","10","2015"
"Legionellosis",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"מחלת הלגיונרים","10","2015"
"Creutzfeldt-Jacob disease",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"מחלת קרויצפלדט-יעקוב","10","2015"
"Malaria",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"מלריה","10","2015"
"GAS Invasive Infection",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"סטרפטוקוקים מקבוצה A זיהום פולשני","10","2015"
"Perinatal streptococcal B early onset",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"סטרפטוקוק B סב-לידתי - התחלה מוקדמת","10","2015"
"Perinatal streptococcal B late onset",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"סטרפטוקוק B סב-לידתי - התחלה מאוחרת","10","2015"
"Salmonellosis of the gastrointestinal tract",3,1,0,0,1,0,1,0,0,1,0,19,2,9,0,"סלמונלוזיס של דרכי העיכול","10","2015"
"Syphilis - primary and secondary",0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,"עגבת ראשונית ושניונית","10","2015"
"Syphilis - other",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,"עגבת אחרת ומאוחרת","10","2015"
"Congenital Syphilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"עגבת מלידה","10","2015"
"Paratyphoid fever",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"פאראטיפואיד","10","2015"
"Tetanus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"צפדת","10","2015"
"Leprosy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"צרעת","10","2015"
"Q fever",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"קדחת Q","10","2015"
"Dangue fever",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת דנגי","10","2015"
"Rift Valley fever",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת השקע האפריקני","10","2015"
"Relapsing fever",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת חוזרת","10","2015"
"Spotted fever",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת כתמים","10","2015"
"West Nile fever",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"קדחת מערב הנילוס","10","2015"
"Viral hemorrhagic fever: Ebola, Lassa, Marburg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת נגיפית המורגית: אבולה, לאסה, מרבורג","10","2015"
"Viral hemorrhagic fever excluding Ebola, Lassa, Marburg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת נגיפית המורגית למעט אבולה, לאסה, מרבורג","10","2015"
"Yellow Fever",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת צהובה","10","2015"
"Rheumatic fever",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קדחת שיגרון","10","2015"
"Campylobacteriosis",11,2,0,0,12,0,1,0,3,3,0,32,7,27,0,"קמפילובקטריוזיס","10","2015"
"Criptosporidiosis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"קריפטוספורידיוזיס","10","2015"
"Other rickettsial diseases",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ריקטסיוזות אחרות","10","2015"
"Tuberculosis - active pulmonary",0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,"שחפת ריאות פעילה","10","2015"
"Tuberculosis - extrapulmonary",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"שחפת מחוץ לריאות","10","2015"
"Shigellosis",2,0,0,0,3,0,0,0,2,3,2,19,6,14,0,"שיגלוזיס","10","2015"
"Poliomyelitis caused by wild-type poliovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"שיתוק ילדים הנגרם ע""י זן פרא של נגיף הפוליו","10","2015"
"Poliomyelitis caused by vaccine derived poliovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"שיתוק ילדים הנגרם ע""י נגיף שמקורו בתרכיב חיסון","10","2015"
"Acute flaccid paralysis (through 15)",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"שיתוק רפה חד (עד גיל 15 ועד בכלל)","10","2015"
"Pertussis",25,1,0,4,5,0,0,2,1,38,5,6,80,0,0,"שעלת","10","2015"
"Influenza caused by a new subtype",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"שפעת הנגרמת ע""י זן חדש","10","2015"
"Pandemic influenza",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"שפעת פנדמית","10","2015"
"Avian influenza",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"שפעת העופות","10","2015"
"Toxic shock syndrome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"תסמונת ההלם הטוקסי","10","2015"
"Severe Acute Respiratory Syndrome (SARS)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"תסמונת נשימתית חמורה חדה","10","2015"
"Food/Water borne infections",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"הרעלת מזון/מים","10","2015"
"Hospital (nosocomial) infections",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"זיהומים בבית חולים","10","2015"
"Varicella - Chickenpox",1,0,0,3,0,0,4,0,1,0,8,6,2,0,0,"אבעבועות רוח","11","2015"
"Smallpox",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"אבעבועות שחורות","11","2015"
"Rubella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"אדמת","11","2015"
"Congenital rubella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"אדמת מלידה","11","2015"
"E. coli O157:H7 infection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"זיהום ע""י א. קולי O157:H7","11","2015"
"HIV carrier/ AIDS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"נשא HIV/ איידס","11","2015"
"Echinococcosis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"אכינוקוקוזיס","11","2015"
"Diphtheria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"אסכרה","11","2015"
"Botulism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"בוטוליזם","11","2015"
"Brucellosis",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"ברוצלוזיס","11","2015"
"Giardiasis",6,0,0,0,0,0,1,0,1,2,0,0,5,0,0,"ג'יארדיאזיס","11","2015"
"Anthrax",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"גחלת","11","2015"
"Pneumonic Plague",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דבר נשימתי","11","2015"
"Plague- non pneumonic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דבר שאינו נשימתי","11","2015"
"Acute Hepatitis A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת כבד נגיפית A","11","2015"
"Acute Hepatitis B",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"דלקת כבד נגיפית B","11","2015"
"Acute Hepatitis C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת כבד נגיפית C","11","2015"
"Acute viral hepatitis - other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת כבד נגיפית אחרת","11","2015"
"Encephalitis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת מח חדה","11","2015"
"Meningitis - meningococcal",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"דלקת עוצבה חדה מנינגוקוקית","11","2015"
"Meningitis - Haemophilus influenzae b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת עוצבה חדה ע""י Hib","11","2015"
"Meningitis - pneumococcal",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת עוצבה חדה פנוימוקוקית","11","2015"
"Acute viral meningitis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת עוצבה נגיפית","11","2015"
"Meningitis - unknown agent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת עוצבה - מחולל לא ידוע","11","2015"
"Meningitis - other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"דלקת עוצבה חדה אחרת","11","2015"
"Gonorrhea",0,0,0,0,0,0,2,0,0,0,0,1,4,0,0,"זיבה","11","2015"
"H. influenzae b invasive infection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"זיהום פולשני ע""י Hib","11","2015"
"Meningococcal invasive infection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"זיהום פולשני ע""י מנינגוקוק","11","2015"
"Pneumococcal invasive infection",0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,"זיהום פולשני ע""י פנוימוקוק","11","2015"
"Mumps",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"חזרת","11","2015"
"Measles",0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,"חצבת","11","2015"
"Tularemia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"טולרמיה","11","2015"
"Typhoid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"טיפואיד","11","2015"
"Murine typhus",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"טיפוס מוריני","11","2015"
"Cholera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"כולירה","11","2015"
"Non cholera vibrio infection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ויבריו שאינו כולירה","11","2015"
"Rabies",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"כלבת","11","2015"
"Chlamydia trachomatis of the genital tract",0,0,0,0,0,0,1,0,0,0,0,0,17,0,0,"כלמידיה טרכומטיס בדרכי המין","11","2015"
"Lymphogranuloma venereum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"לימפוגרנולומה ונראום","11","2015"
"Listeriosis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ליסטריוזיס","11","2015"
"Visceral leishmaniasis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"לישמניאזיס - קלה אזר","11","2015"
"Cutaneous leishmaniasis",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,"לישמניאזיס של העור","11","2015"
"Leptospirosis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"לפטוספירוזיס","11","2015"
"Legionellosis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"מחלת הלגיונרים","11","2015"
"Creutzfeldt-Jacob disease",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"מחלת קרויצפלדט-יעקוב","11","2015"
"Malaria",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,"מלריה","11","2015"
"GAS Invasive Infection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"סטרפטוקוקים מקבוצה A זיהום פולשני","11","2015"
"Perinatal streptococcal B early onset",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"סטרפטוקוק B סב-לידתי - התחלה מוקדמת","11","2015"
"Perinatal streptococcal B late onset",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"סטרפטוקוק B סב-לידתי - התחלה מאוחרת","11","2015"
"Salmonellosis of the gastrointestinal tract",2,0,0,0,0,0,2,0,1,7,0,0,0,4,0,"סלמונלוזיס של דרכי העיכול","11","2015"
"Syphilis - primary and secondary",0,0,0,0,1,0,0,0,2,0,0,0,13,0,0,"עגבת ראשונית ושניונית","11","2015"
"Syphilis - other",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,"עגבת אחרת ומאוחרת","11","2015"
"Congenital Syphilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"עגבת מלידה","11","2015"
"Paratyphoid fever",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"פאראטיפואיד","11","2015"
"Tetanus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"צפדת","11","2015"
