stn_num|stn_type|stn_name|stn_name_heb|stn_long|stn_lat|isr_grid_X|isr_grid_Y|stn_hgt|date_open|date_close|stn_auto|stn_num_env|date_web_frst|date_web_last|yearly_rain|
1054|1|EN KARMEL|עין כרמל|34.959400000000002|32.680799999999998|196480|731830|25|1996-01-01||1|44|1997-01|2022-06|0|
1056|1|GEVA KARMEL|גבע כרמל|34.955100000000002|32.662500000000001|196100|729800|22|1966-04-01|1979-02-28|0||1966-04|1979-02|0|
1120|5|EN HASHOFET|עין השופט|35.096400000000003|32.602800000000002|209310|723170|265|1997-01-01||0||1997-01|2022-05|0|
1121|1|EN HASHOFET|עין השופט|35.096400000000003|32.602800000000002|209310|723170|265|1999-08-01||1|67|2002-01|2022-06|0|
1160|1|ZIKHRON YAAQOV|זכרון יעקב|34.954599999999999|32.572400000000002|195990|719810|175|1996-01-01||1|45|1997-01|2022-06|0|
1190|1|GALED (EVEN YIZHAQ)|גלעד (אבן יצחק)|35.074199999999998|32.558|207220|718220|185|1961-10-01|2003-05-31|0||1964-01|2003-05|0|
1192|1|GALED|גלעד|35.072499999999998|32.556399999999996|207060|718020|180|2008-04-01||1|263|2008-04|2022-06|0|
1381|1|HADERA PORT|חדרה נמל|34.881500000000003|32.473199999999999|189090|708830|5|2002-12-01||1|46|2003-01|2022-06|0|
1460|1|GAN HASHOMERON|גן השומרון|34.998100000000001|32.466099999999997|200050|708020|50|1961-02-01|1987-03-31|0||1964-01|1987-03|0|
1470|1|EN SHEMER SCHOOL|עין שמר בי"ס|35.004199999999997|32.465499999999999|200620|707950|45|1963-07-01|1967-06-30|0||1964-01|1967-06|0|
1540|1|EN HAHORESH|עין החורש|34.941499999999998|32.387|194710|699260|22|1949-01-01|1969-06-30|0||1949-01|1969-06|0|
1545|1|EN HAHORESH MAN|עין החורש מאוישת|34.937600000000003|32.387700000000002|194330|699330|15|1976-01-01|2014-10-31|0||1976-01|2003-12|0|
1545|5|EN HAHORESH MAN|עין החורש מאוישת|34.937600000000003|32.387700000000002|194330|699330|15|2004-01-01||0||2004-01|2022-05|0|
1546|1|EN HAHORESH|עין החורש|34.937600000000003|32.387700000000002|194330|699330|15|2004-08-01||1|107|2004-08|2022-06|0|
1550|1|EN HAHORESH|עין החורש|34.941899999999997|32.386499999999998|194750|699200|22|1969-07-01|1975-12-31|0||1969-07|1975-12|0|
1770|1|TAIYIBA|טייבה|35.001300000000001|32.271500000000003|200400|686400|55|1966-03-01|1969-09-30|0||1966-03|1969-09|0|
1780|1|EN WERED|עין ורד|34.931100000000001|32.269199999999998|193700|686200|60|1979-06-01|1984-12-31|0||1979-06|1983-12|0|
1790|1|TEL MOND JAIL|תל מונד בית סהר|34.885599999999997|32.242100000000001|189400|683100|25|1963-07-01|1971-10-31|0||1964-01|1971-10|0|
1980|1|HAKFAR HAYAROK|הכפר הירוק|34.8324|32.130000000000003|184350|670790|65|2003-02-01||1|275|2003-02|2022-06|0|
1990|1|SHAARE TIQWA|שערי תקוה|35.025399999999998|32.125700000000002|202570|670270|195|2008-10-01|2016-12-31|1|270|2008-12|2016-12|0|
2030|1|TEL AVIV READING|תל אביב חוף רידינג|34.7791|32.104700000000001|179300|668000|5|1939-08-01|1972-02-29|0||1964-01|1972-02|0|
2100|1|TEL AVIV PORT|תל אביב נמל|34.773899999999998|32.0976|178810|667210|5|1950-01-01|1965-11-30|0||1964-01|1965-11|0|
2410|1|TEL AVIV COAST|תל-אביב חוף|34.758800000000001|32.058|177380|662840|10|2005-04-01||1|178|2005-04|2022-06|0|
2419|1|YAFO PORT|יפו נמל|34.751199999999997|32.055|176650|662500|5|1978-08-01|1993-09-30|0||1978-08|1983-12|0|
2420|1|YAFO PORT|יפו נמל|34.751100000000001|32.054900000000004|176640|662490|5|1966-06-01|1978-07-31|0||1966-06|1978-07|0|
2430|1|SAVYON|סביון|34.8735|32.053600000000003|188200|662300|70|1959-01-01|1964-10-31|0||1964-01|1964-10|0|
2520|1|BET DAGAN MAN|בית דגן מאוישת|34.813800000000001|32.007300000000001|182550|657190|31|1962-06-01||0||1964-01|2022-06|0|
2522|1|BET DAGAN|בית דגן|34.813800000000001|32.007300000000001|182550|657190|31|2021-08-01||1|54|2021-08|2022-06|0|
2523|1|BET DAGAN|בית דגן|34.813800000000001|32.007300000000001|182550|657190|31|1997-01-01|2021-07-31|1|54|2004-01|2021-07|0|
2524|1|BET DAGAN RAD|בית דגן קרינה|34.813800000000001|32.007300000000001|182550|657190|31|2015-01-01||1|85|2015-01|2022-06|0|
2524|4|BET DAGAN RAD|בית דגן קרינה|34.814700000000002|32.007899999999999|182640|657260|31|1991-01-01||1|85|1991-01|2022-06|0|
2525|4|BET DAGAN RAD|בית דגן קרינה|34.814700000000002|32.007899999999999|182640|657260|31|1965-01-01|1990-12-31|1|85|1965-01|1990-12|0|
2600|1|LOD AIRPORT|לוד נמל תעופה|34.898099999999999|31.995000000000001|190500|655800|40|1950-01-01|1971-09-30|0||1964-01|1971-09|0|
2610|1|LOD AIRPORT|לוד נמל תעופה|34.896999999999998|31.995000000000001|190400|655800|40|1971-10-01|1980-05-31|0||1971-10|1980-05|0|
2611|1|LOD AIRPORT|לוד נמל תעופה|34.896999999999998|31.995000000000001|190400|655800|40|1980-06-01|1999-06-30|0||1980-06|1998-12|0|
3010|1|ASDOD POWER ST|אשדוד תחנת כח|34.6556|31.838200000000001|167500|638500|5|1959-01-01|1977-10-31|0||1964-01|1975-04|0|
3014|1|ASHDOD PORT|אשדוד נמל|34.6374|31.834199999999999|165800|638080|5|2004-08-01||1|124|2004-08|2022-06|0|
3015|1|ASHDOD PORT|אשדוד נמל|34.652700000000003|31.827500000000001|167220|637320|10|1969-06-01|2001-11-30|0||1969-06|1971-08|0|
3021|1|ASHDOD REFINERIES|אשדוד בתי זיקוק|34.670400000000001|31.846599999999999|168910|639430|35|1996-01-01|2005-12-31|1|52|1999-01|2005-12|0|
3078|5|QEVUZAT YAVNE|קבוצת יבנה|34.724400000000003|31.816600000000001|174000|636080|50|1996-02-01||0||1996-02|2022-05|0|
3079|1|QEVUZAT YAVNE|קבוצת יבנה|34.7166|31.816099999999999|173280|636050|50|1980-09-01|1996-01-31|0||1980-09|1983-12|0|
3079|5|QEVUZAT YAVNE|קבוצת יבנה|34.7166|31.816099999999999|173280|636050|50|1984-01-01|1996-01-31|0||1984-01|1996-01|0|
3080|1|QEVUZAT YAVNE|קבוצת יבנה|34.722000000000001|31.815999999999999|173780|636020|55|1951-01-01|1980-08-31|0||1964-01|1980-08|0|
3081|1|QEVUZAT YAVNE|קבוצת יבנה|34.724400000000003|31.816600000000001|174000|636080|50|2004-07-01||1|74|2007-01|2022-06|0|
3110|1|HAFEZ HAYYIM|חפץ חיים|34.799500000000002|31.789100000000001|181100|633000|80|1971-01-01|1980-02-29|0||1971-01|1980-02|0|
3111|1|HAFEZ HAYYIM|חפץ חיים|34.798999999999999|31.791399999999999|181050|633250|80|1980-03-01|1991-11-30|0||1980-03|1983-12|0|
3111|5|HAFEZ HAYYIM|חפץ חיים|34.798999999999999|31.791399999999999|181050|633250|80|1984-01-01|1991-11-30|0||1984-01|1991-11|0|
3112|5|HAFEZ HAYYIM|חפץ חיים|34.8001|31.787099999999999|181160|632780|80|1991-12-01|2009-11-30|0||1991-12|2009-11|0|
3113|1|HAFEZ HAYYIM|חפץ חיים|34.805|31.791|181630|633200|80|2004-05-01||1|121|2004-05|2022-06|0|
3220|1|NIZZAN|ניצן|34.634799999999998|31.7319|165470|626720|30|2009-01-01||1|274|2009-01|2022-06|0|
3499|1|NEGBA|נגבה|34.684100000000001|31.6616|170100|618900|85|1950-01-01|1955-10-31|0||1950-01|1955-10|0|
3500|1|NEGBA|נגבה|34.684100000000001|31.6616|170100|618900|85|1955-11-01|1977-09-30|0||1955-11|1977-09|0|
3501|1|NEGBA|נגבה|34.679600000000001|31.659600000000001|169700|618700|90|1977-10-01|2002-05-31|0||1977-10|2002-05|0|
3502|1|NEGBA|נגבה|34.6798|31.6585|169690|618560|95|2002-07-01||1|82|2002-07|2022-06|0|
3541|1|ASHQELON PORT|אשקלון נמל|34.521500000000003|31.639399999999998|154680|616550|5|2006-01-01||1|208|2007-01|2022-06|0|
3550|1|GAT MAN|גת מאוישת|34.7913|31.630299999999998|180270|615390|140|1984-01-01||0||1984-01|2008-12|0|
3550|5|GAT MAN|גת מאוישת|34.7913|31.630299999999998|180270|615390|140|2009-01-01||0||2009-01|2022-05|0|
3551|1|GAT|גת|34.7913|31.630299999999998|180270|615390|140|2007-10-01||1|236|2007-10|2022-06|0|
3570|1|SEDE MOSHE|שדה משה|34.800800000000002|31.608499999999999|181150|612970|130|1957-06-01|1975-07-31|0||1964-01|1975-07|0|
3580|1|QIRYAT GAT AGR FARM|קרית גת חווה חקלאית|34.790300000000002|31.606100000000001|180150|612710|130|1978-01-01|1984-10-31|0||1978-01|1983-12|0|
3640|1|EREZ|ארז|34.566699999999997|31.561399999999999|158900|607850|50|1951-05-01|1977-05-31|0||1964-01|1975-12|0|
3779|1|SAAD|סעד|34.535800000000002|31.470199999999998|155910|597760|105|1977-01-01|1980-03-31|0||1977-01|1980-03|0|
3780|1|SAAD|סעד|34.5336|31.470600000000001|155700|597800|110|1964-08-01|1976-12-31|0||1964-08|1976-12|0|
3800|1|BEERI|בארי|34.491900000000001|31.423400000000001|151700|592600|90|1962-04-01|1967-06-30|0||1964-01|1967-06|0|
3820|1|REIM|רעים|34.460599999999999|31.385400000000001|148700|588400|50|1962-06-01|1965-04-30|0||1964-01|1964-03|0|
3830|1|KISSUFIM|כיסופים|34.398899999999998|31.3748|142820|587270|90|1962-07-01|1965-05-31|0||1964-01|1965-05|0|
3831|1|KISSUFIM|כיסופים|34.401800000000001|31.376899999999999|143100|587500|85|1975-02-01|1981-08-31|0||1975-02|1981-08|0|
3850|1|NIRIM|נירים|34.395899999999997|31.3354|142500|582900|110|1949-12-01|1965-05-31|0||1964-01|1965-05|0|
3890|1|BESOR FARM MAN|בשור חווה מאוישת|34.389400000000002|31.271599999999999|141830|575830|110|1975-09-01|2003-10-31|0||1975-09|1999-12|0|
3891|1|BESOR FARM|בשור חווה|34.389400000000002|31.271599999999999|141830|575830|110|1996-10-01||1|58|1997-01|2022-06|0|
3891|4|BESOR FARM|בשור חווה|34.389400000000002|31.271599999999999|141830|575830|110|1996-01-01||1|58|2001-01|2022-06|0|
3919|1|NIR YIZHAQ|ניר יצחק|34.3536|31.238299999999999|138390|572170|95|1976-08-01|1981-11-30|0||1976-08|1981-11|0|
3920|1|NIR YIZHAQ|ניר יצחק|34.359000000000002|31.236799999999999|138900|572000|95|1953-12-01|1976-07-31|0||1964-01|1976-07|0|
4080|1|KEFAR GILADI|כפר גלעדי|35.5749|33.240299999999998|253970|793920|345|1958-01-01|1978-08-31|0||1964-01|1973-03|0|
4087|1|KEFAR GILADI|כפר גלעדי|35.569600000000001|33.240400000000001|253490|793950|365|2007-10-01||1|241|2007-10|2022-06|0|
4090|1|MASAADA|מסעדה|35.7592|33.234200000000001|271160|793320|960|1969-04-01|1983-08-31|0||1969-04|1983-08|0|
4130|1|EL ROM|אל -רום|35.770200000000003|33.181899999999999|272210|787520|1060|1973-12-01|1992-03-31|0||1973-12|1983-12|0|
4190|1|MEROM GOLAN PICMAN MAN|מרום גולן פיכמן מאוישת|35.805599999999998|33.1312|275550|781920|942|1977-02-01|2002-02-28|0||1977-02|2001-12|0|
4191|1|MEROM GOLAN PICMAN|מרום גולן פיכמן|35.804499999999997|33.128799999999998|275450|781650|945|1998-01-01||1|10|2004-07|2022-06|0|
4200|1|KUNEITRA - NURSERY|קונטרה - משתלה|35.805599999999998|33.1312|275550|781920|942|1968-11-01|1973-09-30|0||1968-11|1973-09|0|
4430|1|BARAM - MATITYAHU FARM|ברעם - חוות מתתיהו|35.453899999999997|33.064599999999999|242750|774400|680|1981-05-01|1996-10-31|0||1981-05|1983-12|0|
4440|1|ELON MAN|אילון מאוישת|35.217300000000002|33.065300000000001|220660|774470|300|1974-06-01||0||1974-06|2003-12|0|
4440|5|ELON MAN|אילון מאוישת|35.217300000000002|33.065300000000001|220660|774470|300|2004-01-01||0||2004-01|2022-05|0|
4441|1|ELON|אילון|35.217300000000002|33.065300000000001|220660|774470|300|1999-01-01||1|73|2004-01|2022-06|0|
4480|1|SASA|סאסא|35.395499999999998|33.028599999999997|237300|770400|875|1951-04-01|1971-11-30|0||1951-01|1971-11|0|
4640|1|ZEFAT HAR KENAAN MAN|צפת הר כנען מאוישת|35.506999999999998|32.979999999999997|247740|765030|936|1939-01-01||0||1939-01|2022-06|0|
4642|1|ZEFAT HAR KENAAN|צפת הר כנען|35.506999999999998|32.979999999999997|247740|765030|936|2003-01-01||1|62|2004-01|2022-06|0|
4680|1|YONATAN|יונתן|35.7956|32.937399999999997|274740|760420|560|1979-02-01|1980-08-31|0||1979-02|1980-08|0|
4695|1|HARASHIM|חרשים|35.328800000000001|32.956000000000003|231080|762330|825|1986-06-01|2008-06-30|0||1986-06|2008-06|0|
4696|1|HARASHIM|חרשים|35.328699999999998|32.956000000000003|231070|762330|830|2008-09-01||1|269|2008-09|2022-06|0|
4721|1|MORAN|מורן|35.396299999999997|32.919499999999999|237400|758300|335|1978-12-01|1980-12-31|0||1978-12|1980-12|0|
4728|1|MORAN|מורן|35.396299999999997|32.919499999999999|237400|758300|335|1992-05-01|1994-04-30|0||1992-05|1994-04|0|
4729|1|HANANYA FARM|חוות חנניה|35.4208|32.935699999999997|239680|760100|420|1960-02-01|1970-12-31|0||1964-01|1970-12|0|
4730|1|KARMIEL|כרמיאל|35.305500000000002|32.912399999999998|228900|757500|210|1965-06-01|1969-03-31|0||1965-06|1969-03|0|
4731|1|KARMIEL|כרמיאל|35.305500000000002|32.912399999999998|228900|757500|210|1976-12-01|1979-05-31|0||1976-12|1979-05|0|
4736|5|GAMLA|גמלא|35.748699999999999|32.905200000000001|270380|756840|405|1993-09-01||0||1993-09|2022-05|0|
4738|1|GAMLA|גמלא|35.748699999999999|32.905200000000001|270380|756840|405|2007-06-01||1|227|2007-07|2022-06|0|
4740|1|ESHHAR|אשחר|35.301499999999997|32.884399999999999|228530|754390|370|2005-11-01|2014-09-30|1|205|2007-01|2014-09|0|
4741|1|ESHHAR|אשחר|35.301299999999998|32.884599999999999|228510|754430|373|2014-10-01||1|205|2014-10|2022-06|0|
4749|1|LESHEM|לשם|35.279200000000003|32.857100000000003|226450|751360|345|1986-08-01|2008-12-31|0||1986-08|2003-12|0|
4756|1|DEIR HANNA|דייר חנא|35.374099999999999|32.862099999999998|235330|751930|280|2003-01-01|2018-04-30|1|99|2002-11|2018-04|0|
4757|1|DEIR HANNA|דייר חנא|35.374099999999999|32.862699999999997|235320|752000|285|2020-03-01||1|99|2020-03|2022-06|0|
4770|1|YODFAT|יודפת|35.272300000000001|32.8367|225800|749100|460|1964-01-01|1968-11-30|0||1964-01|1968-01|0|
4798|1|AVNE ETAN|אבני איתן|35.7622|32.817399999999999|271680|747090|375|1998-09-01||1|2|1999-01|2022-06|0|
4799|1|AVNE ETAN MAN|אבני איתן מאוישת|35.7622|32.817399999999999|271680|747090|375|1986-02-01|2008-09-30|0||1986-02|1999-12|0|
4799|5|AVNE ETAN MAN|אבני איתן מאוישת|35.7622|32.817399999999999|271680|747090|375|2000-01-01|2004-09-30|0||2000-01|2004-09|0|
4840|1|ELI-AD -  EL-AL|אלי-עד (אל-על)|35.746299999999998|32.802199999999999|270200|745400|370|1968-12-01|1970-03-31|0||1968-12|1970-03|0|
4900|1|LAVI|לביא|35.438800000000001|32.786000000000001|241400|743500|300|1966-01-01|1968-10-31|0||1966-01|1968-10|0|
4915|1|GIVAT YOAV|גבעת יואב|35.682200000000002|32.7988|264200|745000|320|1970-09-01|1978-01-31|0||1970-09|1974-12|0|
5200|1|NEWE YAAR MAN|נווה יער מאוישת|35.178400000000003|32.707799999999999|217010|734820|115|1949-01-01||0||1949-01|1983-12|0|
5200|5|NEWE YAAR MAN|נווה יער מאוישת|35.178400000000003|32.707799999999999|217010|734820|115|1984-01-01||0||1984-01|2022-05|0|
5201|1|NEWE YAAR|נווה יער|35.178400000000003|32.707799999999999|217010|734820|115|2005-07-01||1|186|2007-01|2022-06|0|
5280|1|NAZARETH UPPER TOWN|נצרת עילית|35.320900000000002|32.705399999999997|230370|734540|490|1959-03-01|1988-03-31|0||1964-01|1988-03|0|
5358|1|TAVOR KADOORIE|תבור כדורי|35.4056|32.705399999999997|238310|734550|145|1996-01-01||1|13|1997-01|2022-06|0|
5360|1|TAVOR KADOORIE|תבור כדורי|35.4069|32.705300000000001|238440|734540|145|1939-01-01|1981-04-30|0||1939-01|1981-04|0|
5370|1|YAVNE'EL MAN|יבנאל מאוישת|35.510100000000001|32.697800000000001|248110|733730|0|1983-08-01|2000-02-29|0||1983-08|1999-12|0|
5371|1|YAVNEEL|יבנאל|35.510100000000001|32.697800000000001|248110|733730|0|1996-02-01||1|11|1997-01|2022-06|0|
5580|1|MIZRA|מזרע|35.286799999999999|32.649999999999999|227180|728390|105|1981-05-01|1984-01-31|0||1981-05|1983-12|0|
5730|1|MISHMAR HA EMEQ|משמר העמק|35.142099999999999|32.610799999999998|213600|724050|100|1939-02-01|1989-03-31|0||1964-01|1983-12|0|
5771|1|MERHAVYA|מרחביה|35.307499999999997|32.602800000000002|229120|723160|60|2008-05-01|2017-06-30|1|264|2008-05|2017-06|0|
5800|1|AFULA SOUTH WEST|עפולה דרום מערב|35.283299999999997|32.6068|226850|723600|60|1950-03-01|1977-12-31|0||1964-01|1977-12|0|
5811|1|AFULA NIR HAEMEQ|עפולה ניר העמק|35.276899999999998|32.595999999999997|226260|722410|60|1996-01-01||1|16|2004-01|2022-06|0|
5820|1|RAMAT ZEVI|רמת צבי|35.4193|32.590699999999998|239620|721840|70|1973-10-01|1974-09-30|0||1973-10|1974-08|0|
5821|1|RAMAT ZEVI|רמת צבי|35.4193|32.590699999999998|239620|721840|70|1974-10-01|1975-10-31|0||1974-10|1975-09|0|
5838|1|EN HAROD IHUD|עין חרוד איחוד|35.392000000000003|32.563899999999997|237060|718860|50|1980-10-01|1991-08-31|0||1980-10|1982-12|0|
5841|1|TEL YOSEF|תל יוסף|35.394500000000001|32.547600000000003|237300|717050|-65|1996-01-01|2006-09-30|1|17|2005-01|2006-09|0|
5843|1|TEL YOSEF|תל יוסף|35.394500000000001|32.546199999999999|237300|716900|-65|2007-12-01|2014-12-31|1|257|2007-12|2014-12|0|
5844|1|TEL YOSEF|תל יוסף|35.392099999999999|32.545400000000001|237080|716820|-65|2015-08-01||1|442|2015-06|2022-06|0|
5940|1|HEFZI BAH GILBOA|חפצי-בה גלבוע|35.427399999999999|32.517800000000001|240400|713750|-80|1938-11-01|1985-12-31|0||1964-01|1983-12|0|
6053|1|MAALE GILBOA MAN|מעלה גלבוע מאוישת|35.421199999999999|32.474899999999998|239830|708990|430|1974-09-01|2008-04-30|0||1974-09|1983-12|0|
6053|5|MAALE GILBOA MAN|מעלה גלבוע מאוישת|35.421199999999999|32.474899999999998|239830|708990|430|1984-01-01||0||1984-01|2022-05|0|
6055|1|MAALE GILBOA|מעלה גלבוע|35.414999999999999|32.481000000000002|239230|709670|495|2007-02-01||1|224|2007-02|2022-06|0|
6100|1|EN HA NAZIV|עין הנצי"ב|35.501300000000001|32.470700000000001|247360|708550|-130|1956-03-01|1973-12-31|0||1964-01|1973-12|0|
6101|1|EDEN FARM|חוות עדן|35.488900000000001|32.4679|246190|708240|-120|1996-01-01||1|206|1996-01|2022-06|0|
6247|1|QARNE SHOMERON|קרני שומרון|35.0959|32.175199999999997|209220|675740|330|2004-07-01||1|20|2007-01|2022-06|0|
6251|1|ITAMAR|איתמר|35.351300000000002|32.159799999999997|233320|674050|820|2004-05-01||1|90|2004-05|2022-06|0|
6260|1|ARIEL|אריאל|35.177399999999999|32.106299999999997|216900|668100|590|1989-09-01|1999-02-28|0||1989-09|1999-02|0|
6261|1|ARIEL|אריאל|35.177399999999999|32.106299999999997|216900|668100|590|1996-01-01|2000-08-31|1|21|1997-01|2000-08|0|
6262|1|ARIEL COLLEGE|אריאל מכללה|35.211399999999998|32.105600000000003|220110|668020|685|2000-11-01||1|21|2000-11|2022-06|0|
6301|1|HAR HARASHA|הר חרשה|35.149900000000002|31.944900000000001|214290|650210|770|2001-10-01||1|24|2004-01|2022-06|0|
6390|1|JERUSALEM AIRPORT|ירושלים נמל תעופה|35.217300000000002|31.8642|220670|641250|757|1967-06-01|2000-09-30|0||1967-06|2000-09|0|
6490|1|NAHSHON|נחשון|34.961599999999997|31.834099999999999|196460|637940|180|2008-01-01||1|259|2008-01|2022-06|0|
6550|1|BET NEQOFA|בית נקופה|35.136299999999999|31.8123|213000|635500|790|1979-02-01|1986-12-31|0||1979-02|1983-12|0|
6661|1|MA'ALE ADUMMIM|מעלה אדומים|35.296399999999998|31.773499999999999|228150|631200|485|1984-02-01|1987-12-31|0||1984-02|1987-12|0|
6662|1|MA'ALE ADUMMIM|מעלה אדומים|35.296100000000003|31.774000000000001|228130|631250|490|1991-08-01|2002-04-30|0||1991-08|2002-04|0|
6663|1|MA'ALE ADUMMIM|מעלה אדומים|35.296100000000003|31.774000000000001|228130|631250|490|2007-01-01||1|218|2007-01|2022-06|0|
6770|1|JERUSALEM CENTRE MAN|ירושלים מרכז מאוישת|35.221699999999998|31.7806|221080|631980|810|1950-01-01|2015-02-28|0||1950-01|2015-02|0|
6771|1|JERUSALEM CENTRE|ירושלים מרכז|35.221699999999998|31.7806|221080|631980|810|1996-01-01||1|23|1997-01|2022-06|0|
7011|1|ZOVA|צובה|35.125799999999998|31.787800000000001|212000|632780|710|2004-10-01||1|188|2004-10|2022-06|0|
7020|1|JERUSALEM GIVAT RAM|ירושלים גבעת רם|35.197299999999998|31.770399999999999|218770|630850|770|2001-03-01||1|22|2001-03|2022-06|0|
7020|4|JERUSALEM GIVAT RAM|ירושלים גבעת רם|35.197299999999998|31.770399999999999|218770|630850|770|1990-01-01||1|22|1990-01|2022-06|0|
7060|1|ZOR'A|צרעה|34.966500000000003|31.761299999999999|196910|629870|190|1964-01-01|1972-06-30|0||1964-01|1972-06|0|
7150|1|BEIT JIMAL MAN|בית ג'מל מאוישת|34.976199999999999|31.724799999999998|197830|625830|355|1920-01-01|2009-09-30|0||1920-01|2008-02|0|
7151|1|BEIT JIMAL|בית ג'מל|34.976199999999999|31.724799999999998|197830|625830|355|2003-01-01||1|75|2004-01|2022-06|0|
7160|1|HAR GILO|הר גילה|35.171199999999999|31.722999999999999|216300|625600|915|1980-10-01|1986-07-31|0||1980-10|1983-12|0|
7210|1|AVIEZER|אביעזר|35.022500000000001|31.683199999999999|202200|621200|435|1980-10-01|1982-11-30|0||1980-10|1982-11|0|
7220|1|NETIV HALAMED HE|נתיב הל"ה|34.974400000000003|31.689800000000002|197640|621940|275|1997-09-01||1|25|1997-09|2022-06|0|
7230|5|NETIV HALAMED HE|נתיב הל"ה|34.974400000000003|31.689800000000002|197640|621940|275|1994-06-01|2015-06-30|0||1994-06|2014-07|0|
7240|1|MEVO BETAR|מבוא ביתר|35.104300000000002|31.722300000000001|209960|625520|760|1961-02-01|1965-12-31|0||1964-01|1965-12|0|
7244|1|ROSH ZURIM MAN|ראש צורים מאוישת|35.125500000000002|31.667899999999999|211960|619490|950|1983-06-01||0||1983-06|1983-12|0|
7244|5|ROSH ZURIM MAN|ראש צורים מאוישת|35.125500000000002|31.667899999999999|211960|619490|950|1984-03-01||0||1984-03|2022-05|0|
7245|1|ROSH ZURIM|ראש צורים|35.126399999999997|31.667999999999999|212050|619500|950|1970-12-01|1983-03-31|0||1970-12|1983-03|0|
7246|1|ROSH ZURIM|ראש צורים|35.1233|31.664400000000001|211770|619110|950|2003-01-01||1|77|2003-01|2022-06|0|
7330|1|DOROT|דורות|34.643900000000002|31.509899999999998|166200|602100|110|1953-02-01|2001-09-30|0||1953-02|1983-12|0|
7330|5|DOROT|דורות|34.643900000000002|31.509899999999998|166200|602100|110|1984-01-01|1998-03-31|0||1984-01|1998-03|0|
7333|1|DOROT|דורות|34.648000000000003|31.503599999999999|166600|601390|115|2004-07-01||1|79|2007-01|2022-06|0|
7409|1|LAHAV|להב|34.870800000000003|31.3827|187710|587910|470|1967-01-01|1977-04-30|0||1967-01|1977-04|0|
7410|1|LAHAV|להב|34.8675|31.379899999999999|187400|587600|460|1953-07-01|1966-12-31|0||1964-01|1966-12|0|
7415|1|LAHAV MAN|להב מאוישת|34.872900000000001|31.3812|187910|587750|460|1978-01-01||0||1978-01|2022-06|0|
7416|1|LAHAV|להב|34.872900000000001|31.3812|187910|587750|460|2010-07-01||1|350|2010-07|2022-06|0|
7490|1|SHANI|שני|35.066200000000002|31.3568|206300|585000|700|2004-10-01||1|28|2004-10|2022-06|0|
