Response ID,"Set Number:מבין החלופות הבאות לשעונים חכמים, איזה שעון היית קונה?","Card Number:מבין החלופות הבאות לשעונים חכמים, איזה שעון היית קונה?","זמן סוללה:מבין החלופות הבאות לשעונים חכמים, איזה שעון היית קונה?","GPS:מבין החלופות הבאות לשעונים חכמים, איזה שעון היית קונה?","eSim:מבין החלופות הבאות לשעונים חכמים, איזה שעון היית קונה?","עמידות:מבין החלופות הבאות לשעונים חכמים, איזה שעון היית קונה?","Score:מבין החלופות הבאות לשעונים חכמים, איזה שעון היית קונה?"
2,3,2,24 שעות,עם GPS בדיוק בינוני,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
2,3,3,7 ימים,עם GPS בדיוק בינוני,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
2,4,1,14 ימים,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,100
2,4,2,24 שעות,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
2,4,3,48 שעות,עם GPS בדיוק בינוני,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
3,1,1,14 ימים,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
3,1,2,48 שעות,עם GPS בדיוק בינוני,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,100
3,1,3,24 שעות,עם GPS בדיוק בינוני,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
3,2,1,7 ימים,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
3,2,2,14 ימים,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,100
3,2,3,48 שעות,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
3,3,1,24 שעות,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,100
3,3,2,7 ימים,ללא GPS,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
3,3,3,7 ימים,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
3,4,1,24 שעות,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,100
3,4,2,14 ימים,עם GPS בדיוק בינוני,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
3,4,3,48 שעות,עם GPS בדיוק בינוני,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
4,1,1,24 שעות,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
4,1,2,7 ימים,עם GPS בדיוק בינוני,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,100
4,1,3,14 ימים,עם GPS בדיוק בינוני,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
4,2,1,14 ימים,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
4,2,2,7 ימים,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
4,2,3,48 שעות,ללא GPS,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
4,3,1,24 שעות,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,100
4,3,2,24 שעות,עם GPS בדיוק בינוני,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
4,3,3,7 ימים,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
4,4,1,14 ימים,ללא GPS,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,100
4,4,2,48 שעות,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
4,4,3,48 שעות,עם GPS בדיוק גבוה,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
5,1,1,48 שעות,עם GPS בדיוק גבוה,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
5,1,2,7 ימים,ללא GPS,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
5,1,3,14 ימים,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,100
5,2,1,14 ימים,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
5,2,2,24 שעות,עם GPS בדיוק בינוני,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,100
5,2,3,7 ימים,עם GPS בדיוק גבוה,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
5,3,1,48 שעות,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
5,3,2,24 שעות,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,100
5,3,3,48 שעות,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
5,4,1,7 ימים,עם GPS בדיוק בינוני,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
5,4,2,24 שעות,עם GPS בדיוק בינוני,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,100
5,4,3,14 ימים,עם GPS בדיוק גבוה,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
6,1,1,14 ימים,עם GPS בדיוק בינוני,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
6,1,2,24 שעות,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
6,1,3,48 שעות,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
6,2,1,48 שעות,עם GPS בדיוק גבוה,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
6,2,2,7 ימים,עם GPS בדיוק גבוה,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
6,2,3,7 ימים,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
6,3,1,24 שעות,עם GPS בדיוק בינוני,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
6,3,2,14 ימים,עם GPS בדיוק בינוני,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
6,3,3,7 ימים,ללא GPS,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,100
6,4,1,48 שעות,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
6,4,2,14 ימים,עם GPS בדיוק בינוני,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
6,4,3,24 שעות,עם GPS בדיוק בינוני,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
7,1,1,24 שעות,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
7,1,2,14 ימים,עם GPS בדיוק בינוני,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,100
7,1,3,48 שעות,עם GPS בדיוק בינוני,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
7,2,1,48 שעות,עם GPS בדיוק גבוה,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
7,2,2,7 ימים,ללא GPS,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,100
7,2,3,7 ימים,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
7,3,1,24 שעות,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
7,3,2,24 שעות,עם GPS בדיוק בינוני,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,100
7,3,3,7 ימים,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
7,4,1,48 שעות,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
7,4,2,14 ימים,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
7,4,3,14 ימים,עם GPS בדיוק בינוני,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
8,1,1,7 ימים,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
8,1,2,48 שעות,ללא GPS,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
8,1,3,24 שעות,ללא GPS,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
8,2,1,24 שעות,עם GPS בדיוק גבוה,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,100
8,2,2,14 ימים,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
8,2,3,14 ימים,ללא GPS,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
8,3,1,48 שעות,עם GPS בדיוק בינוני,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
8,3,2,48 שעות,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
8,3,3,7 ימים,עם GPS בדיוק בינוני,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
8,4,1,7 ימים,עם GPS בדיוק גבוה,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
8,4,2,24 שעות,עם GPS בדיוק בינוני,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
8,4,3,24 שעות,עם GPS בדיוק גבוה,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
9,1,1,24 שעות,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
9,1,2,7 ימים,עם GPS בדיוק בינוני,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,100
9,1,3,48 שעות,עם GPS בדיוק בינוני,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
9,2,1,14 ימים,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
9,2,2,7 ימים,עם GPS בדיוק גבוה,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,100
9,2,3,48 שעות,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
9,3,1,14 ימים,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
9,3,2,14 ימים,עם GPS בדיוק בינוני,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,100
9,3,3,48 שעות,עם GPS בדיוק בינוני,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
9,4,1,7 ימים,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
9,4,2,7 ימים,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
9,4,3,48 שעות,עם GPS בדיוק בינוני,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,100
10,1,1,48 שעות,עם GPS בדיוק בינוני,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
10,1,2,14 ימים,ללא GPS,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
10,1,3,24 שעות,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,100
10,2,1,24 שעות,עם GPS בדיוק בינוני,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
10,2,2,7 ימים,ללא GPS,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
10,2,3,7 ימים,עם GPS בדיוק גבוה,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,100
10,3,1,14 ימים,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
10,3,2,48 שעות,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,100
10,3,3,7 ימים,ללא GPS,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
10,4,1,24 שעות,עם GPS בדיוק בינוני,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
10,4,2,14 ימים,עם GPS בדיוק בינוני,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
10,4,3,48 שעות,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,100
11,1,1,14 ימים,עם GPS בדיוק בינוני,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,100
11,1,2,48 שעות,ללא GPS,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
11,1,3,7 ימים,ללא GPS,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
11,2,1,7 ימים,עם GPS בדיוק בינוני,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
11,2,2,24 שעות,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
11,2,3,24 שעות,עם GPS בדיוק בינוני,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,100
11,3,1,48 שעות,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,100
11,3,2,14 ימים,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
11,3,3,14 ימים,ללא GPS,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
11,4,1,7 ימים,עם GPS בדיוק בינוני,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
11,4,2,24 שעות,עם GPS בדיוק בינוני,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,100
11,4,3,24 שעות,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
12,1,1,14 ימים,ללא GPS,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
12,1,2,24 שעות,עם GPS בדיוק גבוה,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,100
12,1,3,7 ימים,עם GPS בדיוק גבוה,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
12,2,1,48 שעות,ללא GPS,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
12,2,2,48 שעות,עם GPS בדיוק בינוני,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
12,2,3,24 שעות,עם GPS בדיוק בינוני,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
12,3,1,7 ימים,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
12,3,2,7 ימים,עם GPS בדיוק בינוני,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
12,3,3,14 ימים,עם GPS בדיוק גבוה,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
12,4,1,14 ימים,עם GPS בדיוק גבוה,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
12,4,2,24 שעות,עם GPS בדיוק בינוני,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
12,4,3,24 שעות,עם GPS בדיוק בינוני,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,100
13,1,1,14 ימים,עם GPS בדיוק בינוני,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
13,1,2,48 שעות,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
13,1,3,7 ימים,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
13,2,1,7 ימים,עם GPS בדיוק גבוה,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
13,2,2,48 שעות,עם GPS בדיוק בינוני,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,100
13,2,3,14 ימים,ללא GPS,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
13,3,1,24 שעות,עם GPS בדיוק בינוני,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,100
13,3,2,14 ימים,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
13,3,3,48 שעות,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
13,4,1,24 שעות,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
13,4,2,24 שעות,עם GPS בדיוק בינוני,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
13,4,3,7 ימים,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,100
14,1,1,7 ימים,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
14,1,2,48 שעות,עם GPS בדיוק בינוני,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,100
14,1,3,14 ימים,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
14,2,1,24 שעות,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
14,2,2,7 ימים,עם GPS בדיוק בינוני,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
14,2,3,48 שעות,ללא GPS,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
14,3,1,24 שעות,עם GPS בדיוק בינוני,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
14,3,2,24 שעות,עם GPS בדיוק גבוה,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,100
14,3,3,48 שעות,עם GPS בדיוק גבוה,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
14,4,1,14 ימים,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
14,4,2,7 ימים,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,100
14,4,3,14 ימים,ללא GPS,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
16,1,1,7 ימים,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,100
16,1,2,48 שעות,עם GPS בדיוק בינוני,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
16,1,3,14 ימים,עם GPS בדיוק בינוני,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
16,2,1,14 ימים,עם GPS בדיוק גבוה,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,100
16,2,2,48 שעות,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
16,2,3,24 שעות,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
16,3,1,7 ימים,עם GPS בדיוק בינוני,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,100
16,3,2,24 שעות,עם GPS בדיוק בינוני,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
16,3,3,24 שעות,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
16,4,1,48 שעות,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
16,4,2,14 ימים,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
16,4,3,14 ימים,ללא GPS,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
17,1,1,48 שעות,עם GPS בדיוק בינוני,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,100
17,1,2,24 שעות,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
17,1,3,14 ימים,עם GPS בדיוק גבוה,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
17,2,1,14 ימים,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,100
17,2,2,7 ימים,עם GPS בדיוק גבוה,ניתן לבצע שיחות ללא טלפון,עמידות לחול ומים,0
17,2,3,24 שעות,עם GPS בדיוק בינוני,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
17,3,1,48 שעות,עם GPS בדיוק בינוני,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,100
17,3,2,48 שעות,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
17,3,3,24 שעות,עם GPS בדיוק גבוה,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
17,4,1,14 ימים,עם GPS בדיוק גבוה,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
17,4,2,14 ימים,עם GPS בדיוק בינוני,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
17,4,3,7 ימים,עם GPS בדיוק בינוני,ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
18,1,1,14 ימים,ללא GPS,לא ניתן לבצע שיחות ללא טלפון,עמידות בתקן צבאי מחמיר לחול ומים עד 100 מטר,0
