FUND_ID,FUND_NAME,FUND_CLASSIFICATION,CONTROLLING_CORPORATION,MANAGING_CORPORATION,REPORT_PERIOD,INCEPTION_DATE,TARGET_POPULATION,SPECIALIZATION,SUB_SPECIALIZATION,DEPOSITS,WITHDRAWLS,INTERNAL_TRANSFERS,NET_MONTHLY_DEPOSITS,TOTAL_ASSETS,AVG_ANNUAL_MANAGEMENT_FEE,AVG_DEPOSIT_FEE,MONTHLY_YIELD,YEAR_TO_DATE_YIELD,YIELD_TRAILING_3_YRS,YIELD_TRAILING_5_YRS,AVG_ANNUAL_YIELD_TRAILING_3YRS,AVG_ANNUAL_YIELD_TRAILING_5YRS,STANDARD_DEVIATION,ALPHA,SHARPE_RATIO,LIQUID_ASSETS_PERCENT,STOCK_MARKET_EXPOSURE,FOREIGN_EXPOSURE,FOREIGN_CURRENCY_EXPOSURE,MANAGING_CORPORATION_LEGAL_ID,CURRENT_DATE
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",202111,01/04/1979,כלל האוכלוסיה,"אג""ח",משולב מניות,23.44,38.59,-42.38,-57.53,9700.2,0.65,0.32,0.65,10.78,22.36,32.53,6.96,5.79,4.61,0.96,1.3,74.4,2317.7,3163.42,1527.72,512267592,23/02/2022 14:14
101,"הראל אג""ח עד 25% מניות ",תגמולים ואישית לפיצויים,"הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ",202112,01/04/1979,כלל האוכלוסיה,"אג""ח",משולב מניות,48.58,37.11,-35.66,-24.19,9773,0.65,0.32,1.16,12.07,26.14,33.06,8.05,5.88,4.62,1.08,1.35,74.4,2379.74,3244.28,1571.37,512267592,23/02/2022 14:14
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",202101,01/01/1970,כלל האוכלוסיה,מדרגות,50-60,8.29,20.68,-11.58,-23.97,6960.42,0.49,0.12,0.89,0.89,16.04,32.63,5.08,5.81,6.24,1.32,0.88,76.1,2967.58,3269.19,1590.16,512065202,23/02/2022 14:14
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",202102,01/01/1970,כלל האוכלוסיה,מדרגות,50-60,14.89,15.91,19.74,18.72,7045.45,0.49,0.12,1,1.9,18.38,34.6,5.79,6.12,6.23,1.68,0.93,76.3,3052.35,3080.43,1628.17,512065202,23/02/2022 14:14
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",202103,01/01/1970,כלל האוכלוסיה,מדרגות,50-60,16.82,20.05,24.33,21.1,7212.78,0.49,0.12,2.12,4.06,21.51,36.19,6.71,6.37,6.27,1.68,1,76,3232.32,3269.25,1718.88,512065202,23/02/2022 14:14
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",202104,01/01/1970,כלל האוכלוסיה,מדרגות,50-60,18.59,15.53,28.45,31.51,7406.71,0.49,0.12,2.3,6.45,23.2,38.08,7.2,6.67,6.32,1.92,1.08,76.3,3398.77,3406.41,1753.73,512065202,23/02/2022 14:14
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",202105,01/01/1970,כלל האוכלוסיה,מדרגות,50-60,18.96,10.05,22.52,31.43,7542.74,0.49,0.12,1.46,8.01,24.99,39.44,7.72,6.88,6.33,1.92,1.13,76.2,3395.21,3060.16,1509.88,512065202,23/02/2022 14:14
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",202106,01/01/1970,כלל האוכלוסיה,מדרגות,50-60,32.75,23.56,45.96,55.15,7664.03,0.49,0.12,0.92,9,26.35,41.37,8.11,7.17,6.31,2.04,1.17,76.7,3506.47,3200.68,1749.21,512065202,23/02/2022 14:14
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",202107,01/01/1970,כלל האוכלוסיה,מדרגות,50-60,33.88,16.21,91.81,109.48,7817.3,0.49,0.12,0.6,9.65,25.61,39.46,7.9,6.88,6.28,2.16,1.16,76.6,3496.69,3098.69,1810.56,512065202,23/02/2022 14:14
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",202108,01/01/1970,כלל האוכלוסיה,מדרגות,50-60,58.36,15.78,147.3,189.88,8145.37,0.49,0.12,1.79,11.62,26.44,41.22,8.13,7.15,6.3,1.92,1.23,78.2,3594.91,3179.7,1854.98,512065202,23/02/2022 14:14
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",202109,01/01/1970,כלל האוכלוסיה,מדרגות,50-60,38.64,11.43,130.08,157.29,8256.61,0.49,0.12,-0.52,11.04,25.71,41.08,7.93,7.13,6.31,1.68,1.19,78.5,3659.58,3208.24,1801.28,512065202,23/02/2022 14:14
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",202110,01/01/1970,כלל האוכלוסיה,מדרגות,50-60,45.03,22.33,174.34,197.04,8662.07,0.49,0.12,2.55,13.87,31.17,44.46,9.47,7.63,6.37,1.8,1.29,79,3898.43,3357.23,1900.88,512065202,23/02/2022 14:14
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",202111,01/01/1970,כלל האוכלוסיה,מדרגות,50-60,81.46,18.11,266.7,330.05,9011.23,0.49,0.12,0.27,14.18,30.91,44.24,9.39,7.6,6.37,1.68,1.28,79.3,4092.85,3518,1467.42,512065202,23/02/2022 14:14
103,מיטב דש גמל לבני  50-60,תגמולים ואישית לפיצויים,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",202112,01/01/1970,כלל האוכלוסיה,מדרגות,50-60,107.05,13.28,254.51,348.28,9495.36,0.49,0.12,1.51,15.9,36.98,45.23,11.06,7.75,6.38,1.68,1.33,79.9,4361.53,3625.99,1916.95,512065202,23/02/2022 14:14
107,"הלמן-אלדובי גמל אג""ח עד 25% במניות",תגמולים ואישית לפיצויים,"הלמן אלדובי פיננסים בע""מ","הלמן - אלדובי קופות גמל ופנסיה בע""מ",202101,01/01/1970,כלל האוכלוסיה,"אג""ח",משולב מניות,0.39,2.6,-15.93,-18.14,865.18,,,0.88,0.88,10.23,23.85,3.3,4.37,4.2,0.84,0.89,87.1,211.42,216.64,157.89,512227265,23/02/2022 14:14
107,"הלמן-אלדובי גמל אג""ח עד 25% במניות",תגמולים ואישית לפיצויים,"הלמן אלדובי פיננסים בע""מ","הלמן - אלדובי קופות גמל ופנסיה בע""מ",202102,01/01/1970,כלל האוכלוסיה,"אג""ח",משולב מניות,0.85,3.24,-19.34,-21.73,842.02,,,-0.14,0.74,11.21,23.88,3.61,4.38,4.2,0.96,0.87,86.9,208.55,215.05,161.06,512227265,23/02/2022 14:14
107,"הלמן-אלדובי גמל אג""ח עד 25% במניות",תגמולים ואישית לפיצויים,"הלמן אלדובי פיננסים בע""מ","הלמן - אלדובי קופות גמל ופנסיה בע""מ",202103,01/01/1970,כלל האוכלוסיה,"אג""ח",משולב מניות,1.63,6.47,-24.65,-29.49,822.77,,,1.28,2.03,13.01,24.22,4.16,4.43,4.21,0.84,0.93,86.7,210.61,214.7,161.66,512227265,23/02/2022 14:14
107,"הלמן-אלדובי גמל אג""ח עד 25% במניות",תגמולים ואישית לפיצויים,"הפניקס אחזקות בע""מ","הלמן - אלדובי קופות גמל ופנסיה בע""מ",202104,01/01/1970,כלל האוכלוסיה,"אג""ח",משולב מניות,1.08,0.75,-11.39,-11.06,820.04,,,1.06,3.11,13.58,24.59,4.34,4.5,4.22,0.84,0.98,85.3,197.73,191.43,171.18,512227265,23/02/2022 14:14
107,"הלמן-אלדובי גמל אג""ח עד 25% במניות",תגמולים ואישית לפיצויים,"הפניקס אחזקות בע""מ","הלמן - אלדובי קופות גמל ופנסיה בע""מ",202105,01/01/1970,כלל האוכלוסיה,"אג""ח",משולב מניות,1.36,3.54,-11.45,-13.63,814.2,,,1.01,4.15,14.53,25.07,4.63,4.58,4.23,0.84,1.03,83.9,140.44,207.07,180.41,512227265,23/02/2022 14:14
107,"הלמן-אלדובי גמל אג""ח עד 25% במניות",תגמולים ואישית לפיצויים,"הפניקס אחזקות בע""מ","הלמן - אלדובי קופות גמל ופנסיה בע""מ",202106,01/01/1970,כלל האוכלוסיה,"אג""ח",משולב מניות,0.81,4.29,-13.71,-17.19,802.22,,,0.7,4.88,14.98,25.77,4.76,4.69,4.23,0.96,1.07,84,124.58,205.63,168.73,512227265,23/02/2022 14:14
107,"הלמן-אלדובי גמל אג""ח עד 25% במניות",תגמולים ואישית לפיצויים,"הפניקס אחזקות בע""מ","הלמן - אלדובי קופות גמל ופנסיה בע""מ",202107,01/01/1970,כלל האוכלוסיה,"אג""ח",משולב מניות,0.99,2.36,-14.86,-16.23,788.51,,,0.36,5.26,14.55,24.25,4.63,4.44,4.19,0.96,1.05,83.6,122.26,209.6,159.69,512227265,23/02/2022 14:14
107,"הלמן-אלדובי גמל אג""ח עד 25% במניות",תגמולים ואישית לפיצויים,"הפניקס אחזקות בע""מ","הלמן - אלדובי קופות גמל ופנסיה בע""מ",202108,01/01/1970,כלל האוכלוסיה,"אג""ח",משולב מניות,0.47,3.45,-10.66,-13.64,784.87,,,1.34,6.67,14.95,25.69,4.75,4.68,4.21,0.84,1.13,83,119.19,208.53,159.5,512227265,23/02/2022 14:14
107,"הלמן-אלדובי גמל אג""ח עד 25% במניות",תגמולים ואישית לפיצויים,"הפניקס אחזקות בע""מ","הלמן - אלדובי קופות גמל ופנסיה בע""מ",202109,01/01/1970,כלל האוכלוסיה,"אג""ח",משולב מניות,0.59,2.28,-10.2,-11.89,768.9,,,-0.48,6.16,14.32,25.68,4.56,4.68,4.21,0.72,1.09,82.9,118.03,206.96,156.27,512227265,23/02/2022 14:14
107,"הלמן-אלדובי גמל אג""ח עד 25% במניות",תגמולים ואישית לפיצויים,"הפניקס אחזקות בע""מ","הלמן - אלדובי קופות גמל ופנסיה בע""מ",202110,01/01/1970,כלל האוכלוסיה,"אג""ח",משולב מניות,0,0,0,0,0,,,,,,,,,,,,,,,,512227265,23/02/2022 14:14
117,"כלל תמר אג""ח ",תגמולים ואישית לפיצויים,אחר,"כלל פנסיה וגמל בע""מ",202101,14/11/1994,כלל האוכלוסיה,"אג""ח","אג""ח",0.64,1.97,-10.62,-11.95,787.07,0.52,0.03,0.48,0.48,8.23,13.85,2.67,2.63,3.02,-0.96,0.77,85,0.12,144.56,92.19,512244146,23/02/2022 14:14
117,"כלל תמר אג""ח ",תגמולים ואישית לפיצויים,אחר,"כלל פנסיה וגמל בע""מ",202102,14/11/1994,כלל האוכלוסיה,"אג""ח","אג""ח",3.24,2.94,-8.89,-8.59,774.41,0.52,0.03,-0.48,0,8.36,12.94,2.71,2.46,3.04,-0.84,0.7,84.7,0.2,147.41,89.54,512244146,23/02/2022 14:14
117,"כלל תמר אג""ח ",תגמולים ואישית לפיצויים,אחר,"כלל פנסיה וגמל בע""מ",202103,14/11/1994,כלל האוכלוסיה,"אג""ח","אג""ח",1.15,2.8,-6.16,-7.81,770.68,0.52,0.03,0.57,0.57,8.62,13.66,2.79,2.59,3.04,-0.84,0.75,84.2,0.25,159.21,89.88,512244146,23/02/2022 14:14
117,"כלל תמר אג""ח ",תגמולים ואישית לפיצויים,אחר,"כלל פנסיה וגמל בע""מ",202104,14/11/1994,כלל האוכלוסיה,"אג""ח","אג""ח",1.84,2.31,-3.47,-3.94,768.92,0.52,0.03,0.33,0.9,8.96,13.2,2.9,2.51,3.03,-0.84,0.76,84.2,0.38,148.79,89.86,512244146,23/02/2022 14:14
117,"כלל תמר אג""ח ",תגמולים ואישית לפיצויים,אחר,"כלל פנסיה וגמל בע""מ",202105,14/11/1994,כלל האוכלוסיה,"אג""ח","אג""ח",2.31,1.97,-8.32,-7.98,766.54,0.52,0.03,0.78,1.69,9.94,14.01,3.21,2.66,3.04,-0.72,0.83,84.2,0.48,148.58,81.5,512244146,23/02/2022 14:14
117,"כלל תמר אג""ח ",תגמולים ואישית לפיצויים,אחר,"כלל פנסיה וגמל בע""מ",202106,14/11/1994,כלל האוכלוסיה,"אג""ח","אג""ח",5.53,2.38,-7.43,-4.28,763.78,0.52,0.03,0.23,1.92,10.26,13.64,3.31,2.59,3.04,-0.72,0.82,84,0.47,145.58,81.84,512244146,23/02/2022 14:14
117,"כלל תמר אג""ח ",תגמולים ואישית לפיצויים,אחר,"כלל פנסיה וגמל בע""מ",202107,14/11/1994,כלל האוכלוסיה,"אג""ח","אג""ח",1.54,2.63,-6.47,-7.56,757.21,0.52,0.03,0.17,2.09,10.22,13.13,3.3,2.5,3.03,-0.84,0.82,83.8,0.17,136.28,82.27,512244146,23/02/2022 14:14
117,"כלל תמר אג""ח ",תגמולים ואישית לפיצויים,אחר,"כלל פנסיה וגמל בע""מ",202108,14/11/1994,כלל האוכלוסיה,"אג""ח","אג""ח",-1.15,2.64,-4.51,-8.3,753.46,0.52,0.03,0.65,2.76,10.6,14.21,3.42,2.69,3.03,-0.84,0.88,83.7,0.54,132.88,79.22,512244146,23/02/2022 14:14
117,"כלל תמר אג""ח ",תגמולים ואישית לפיצויים,אחר,"כלל פנסיה וגמל בע""מ",202109,14/11/1994,כלל האוכלוסיה,"אג""ח","אג""ח",2.6,1.68,-4.81,-3.89,749.95,0.52,0.03,0.1,2.86,10.75,15.12,3.46,2.86,3,-0.6,0.91,83.6,0.55,141.04,79.2,512244146,23/02/2022 14:14
117,"כלל תמר אג""ח ",תגמולים ואישית לפיצויים,אחר,"כלל פנסיה וגמל בע""מ",202110,14/11/1994,כלל האוכלוסיה,"אג""ח","אג""ח",1.19,4.91,-2.2,-5.92,745.78,0.52,0.03,0.28,3.15,11.52,15.23,3.7,2.88,3,-0.84,0.93,84,0.54,87.12,70.39,512244146,23/02/2022 14:14
117,"כלל תמר אג""ח ",תגמולים ואישית לפיצויים,אחר,"כלל פנסיה וגמל בע""מ",202111,14/11/1994,כלל האוכלוסיה,"אג""ח","אג""ח",-0.2,3.41,-1.68,-5.29,741.73,0.52,0.03,0.21,3.36,12.26,16.56,3.93,3.11,2.95,-0.84,0.98,83.8,0.55,90.25,64.45,512244146,23/02/2022 14:14
117,"כלל תמר אג""ח ",תגמולים ואישית לפיצויים,אחר,"כלל פנסיה וגמל בע""מ",202112,14/11/1994,כלל האוכלוסיה,"אג""ח","אג""ח",1.57,3.82,-3.21,-5.46,735.89,0.52,0.03,0,3.36,12.6,16.2,4.03,3.05,2.96,-0.84,0.96,84,0,87.37,59.26,512244146,23/02/2022 14:14
118,אנליסט קופה מרכזית לפיצויים מסלול כללי,מרכזית לפיצויים,אנליסט שירותי ניהול השקעות,"אנליסט קופות גמל בע""מ",202101,08/11/1994,כלל האוכלוסיה,כללי,כללי,-0.87,0.13,0.87,-0.13,269.33,0.29,,0.69,0.69,16.94,36.15,5.35,6.37,6.6,1.2,0.87,91.9,121.56,84.6,61.44,511880460,23/02/2022 14:14
118,אנליסט קופה מרכזית לפיצויים מסלול כללי,מרכזית לפיצויים,אנליסט שירותי ניהול השקעות,"אנליסט קופות גמל בע""מ",202102,08/11/1994,כלל האוכלוסיה,כללי,כללי,0,0.03,0,-0.03,269.97,0.29,,0.27,0.96,19.04,37.14,5.98,6.52,6.58,1.44,0.88,91.7,123.3,85.29,62.69,511880460,23/02/2022 14:14
118,אנליסט קופה מרכזית לפיצויים מסלול כללי,מרכזית לפיצויים,אנליסט שירותי ניהול השקעות,"אנליסט קופות גמל בע""מ",202103,08/11/1994,כלל האוכלוסיה,כללי,כללי,1.08,0.07,-0.06,0.95,276.7,0.29,,2.17,3.15,22.72,38.17,7.06,6.68,6.61,1.32,0.95,91.7,131.87,89.35,65.08,511880460,23/02/2022 14:14
118,אנליסט קופה מרכזית לפיצויים מסלול כללי,מרכזית לפיצויים,אנליסט שירותי ניהול השקעות,"אנליסט קופות גמל בע""מ",202104,08/11/1994,כלל האוכלוסיה,כללי,כללי,-1.08,0.09,1.2,0.03,282.57,0.29,,2.14,5.36,24.85,39.74,7.68,6.92,6.65,1.56,1.02,91.4,138.44,91.16,67.6,511880460,23/02/2022 14:14
118,אנליסט קופה מרכזית לפיצויים מסלול כללי,מרכזית לפיצויים,אנליסט שירותי ניהול השקעות,"אנליסט קופות גמל בע""מ",202105,08/11/1994,כלל האוכלוסיה,כללי,כללי,4.36,3.63,0,0.73,285.84,0.29,,0.93,6.34,25.16,39.99,7.77,6.96,6.65,1.32,1.04,91.3,141.09,91.42,67.45,511880460,23/02/2022 14:14
118,אנליסט קופה מרכזית לפיצויים מסלול כללי,מרכזית לפיצויים,אנליסט שירותי ניהול השקעות,"אנליסט קופות גמל בע""מ",202106,08/11/1994,כלל האוכלוסיה,כללי,כללי,-4.36,0.35,4.36,-0.35,287.96,0.29,,0.89,7.29,26.31,41.43,8.1,7.18,6.64,1.44,1.08,91.6,142.74,93.2,70.14,511880460,23/02/2022 14:14
118,אנליסט קופה מרכזית לפיצויים מסלול כללי,מרכזית לפיצויים,אנליסט שירותי ניהול השקעות,"אנליסט קופות גמל בע""מ",202107,08/11/1994,כלל האוכלוסיה,כללי,כללי,0,0.28,1.78,1.5,291.85,0.29,,0.86,8.21,26.19,39.09,8.06,6.82,6.58,1.44,1.07,91.7,144.7,92.64,71.62,511880460,23/02/2022 14:14
118,אנליסט קופה מרכזית לפיצויים מסלול כללי,מרכזית לפיצויים,אנליסט שירותי ניהול השקעות,"אנליסט קופות גמל בע""מ",202108,08/11/1994,כלל האוכלוסיה,כללי,כללי,0,0,0,0,297.01,0.29,,1.8,10.16,26.18,41.15,8.06,7.14,6.61,1.32,1.14,91.4,149.49,93.72,72.45,511880460,23/02/2022 14:14
118,אנליסט קופה מרכזית לפיצויים מסלול כללי,מרכזית לפיצויים,אנליסט שירותי ניהול השקעות,"אנליסט קופות גמל בע""מ",202109,08/11/1994,כלל האוכלוסיה,כללי,כללי,0.13,0.29,0.01,-0.15,294.17,0.29,,-0.88,9.19,24.97,40.43,7.71,7.03,6.63,0.96,1.08,91.4,146.92,90.03,68.87,511880460,23/02/2022 14:14
118,אנליסט קופה מרכזית לפיצויים מסלול כללי,מרכזית לפיצויים,אנליסט שירותי ניהול השקעות,"אנליסט קופות גמל בע""מ",202110,08/11/1994,כלל האוכלוסיה,כללי,כללי,0,0.04,0,-0.04,301.54,0.29,,2.54,11.96,30.56,43.75,9.3,7.53,6.68,1.08,1.18,91.5,153.62,92.9,72.07,511880460,23/02/2022 14:14
118,אנליסט קופה מרכזית לפיצויים מסלול כללי,מרכזית לפיצויים,אנליסט שירותי ניהול השקעות,"אנליסט קופות גמל בע""מ",202111,08/11/1994,כלל האוכלוסיה,כללי,כללי,-0.13,0.78,0.13,-0.78,303.02,0.29,,0.77,12.82,31.66,44.73,9.6,7.67,6.68,1.08,1.21,91.5,155.14,92.18,71.59,511880460,23/02/2022 14:14
118,אנליסט קופה מרכזית לפיצויים מסלול כללי,מרכזית לפיצויים,אנליסט שירותי ניהול השקעות,"אנליסט קופות גמל בע""מ",202112,08/11/1994,כלל האוכלוסיה,כללי,כללי,1.28,0.14,-0.54,0.6,309.29,0.29,,1.89,14.96,38.21,46.15,11.39,7.88,6.7,1.2,1.27,91.5,160.27,95.62,73.17,511880460,23/02/2022 14:14
119,מנורה מבטחים יותר מסלול ד',תגמולים ואישית לפיצויים,"מנורה מבטחים החזקות בע""מ","מנורה מבטחים פנסיה וגמל בע""מ",202101,28/06/1972,כלל האוכלוסיה,כללי,כללי,1.24,17.47,9.14,-7.09,993.39,0.61,0.62,0.87,0.87,10.38,23,3.35,4.23,5.35,-0.24,0.7,83.5,248.59,323.79,161.56,512245812,23/02/2022 14:14
119,מנורה מבטחים יותר מסלול ד',תגמולים ואישית לפיצויים,"מנורה מבטחים החזקות בע""מ","מנורה מבטחים פנסיה וגמל בע""מ",202102,28/06/1972,כלל האוכלוסיה,כללי,כללי,2.03,17.75,16.07,0.35,995.28,0.61,0.62,0.21,1.08,11.42,23.49,3.67,4.31,5.35,0,0.71,83.5,250.75,335.55,154.86,512245812,23/02/2022 14:14
119,מנורה מבטחים יותר מסלול ד',תגמולים ואישית לפיצויים,"מנורה מבטחים החזקות בע""מ","מנורה מבטחים פנסיה וגמל בע""מ",202103,28/06/1972,כלל האוכלוסיה,כללי,כללי,2.85,34.22,11.46,-19.91,986.89,0.61,0.62,1.22,2.32,12.95,24.18,4.14,4.43,5.36,-0.12,0.76,83.3,235.91,298.57,155.1,512245812,23/02/2022 14:14
119,מנורה מבטחים יותר מסלול ד',תגמולים ואישית לפיצויים,"מנורה מבטחים החזקות בע""מ","מנורה מבטחים פנסיה וגמל בע""מ",202104,28/06/1972,כלל האוכלוסיה,כללי,כללי,2.03,19.64,21.06,3.45,1002.48,0.61,0.62,1.28,3.62,13.8,24.44,4.4,4.47,5.37,-0.12,0.8,83.2,247.15,345.93,156.76,512245812,23/02/2022 14:14
119,מנורה מבטחים יותר מסלול ד',תגמולים ואישית לפיצויים,"מנורה מבטחים החזקות בע""מ","מנורה מבטחים פנסיה וגמל בע""מ",202105,28/06/1972,כלל האוכלוסיה,כללי,כללי,1.03,27.59,23.34,-3.22,1007.81,0.61,0.62,0.91,4.57,14.92,25.13,4.74,4.59,5.37,-0.24,0.84,82.9,250.16,344.63,161.74,512245812,23/02/2022 14:14
